method,method_label,score_kind,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
cell1_abs,Cell-1 |x|,abs,0,0.1,14.49552387661404,0.0,12.924932797749838,0.10014984574870617,0,0.3582040160120615
cell1_abs,Cell-1 |x|,abs,1,0.15,14.097130881415474,0.0014245014430747998,12.573583390977648,0.14985015425129372,0,0.3856621933593482
cell1_abs,Cell-1 |x|,abs,2,0.2,15.045779758029514,0.005952381011512544,13.76084762149387,0.19999060404664257,0,0.4255251693476861
cell1_abs,Cell-1 |x|,abs,3,0.25,12.880446328057182,0.005214545668827155,11.54836474524604,0.25,0,0.4499650264690619
cell1_abs,Cell-1 |x|,abs,4,0.3,13.133052931891548,0.005494505580928578,11.938399420844185,0.30000939595335735,0,0.49923544714584644
cell1_abs,Cell-1 |x|,abs,5,0.35,11.34723949432373,0.006224280016289811,10.158026960160997,0.3501498457487061,0,0.5362299551373606
cell1_abs,Cell-1 |x|,abs,6,0.4,12.266626199086508,0.009908453664845877,11.153278032938639,0.3998501542512938,0,0.576897974030594
cell1_abs,Cell-1 |x|,abs,7,0.45,13.041288905673557,0.007059450778696255,11.89489057328966,0.4499906040466426,0,0.6133708836707668
cell1_abs,Cell-1 |x|,abs,8,0.5,10.001515176561144,0.0188514310866594,8.74906783633762,0.5,0,0.6490468569967851
cell1_abs,Cell-1 |x|,abs,9,0.55,11.626702361636692,0.021337213977757386,10.665076149834526,0.5500093959533574,0,0.694881357548242
cell1_abs,Cell-1 |x|,abs,10,0.6,10.045233408610025,0.027442505583167045,9.017148070865208,0.6001498457487062,0,0.7526383650503288
cell1_abs,Cell-1 |x|,abs,11,0.65,7.788967609405518,0.04818085260275336,6.8228477107154,0.6498501542512938,0,0.7992433863200836
cell1_abs,Cell-1 |x|,abs,12,0.7,7.09538655810886,0.08672209197862275,6.111533959706624,0.6999906040466426,0,0.8380590591410638
cell1_abs,Cell-1 |x|,abs,13,0.75,6.999083836873372,0.08179832684497035,6.133824004067315,0.75,0,0.867716994711311
cell1_abs,Cell-1 |x|,abs,14,0.8,5.184104998906453,0.1432841490540239,4.1924962467617455,0.8000093959533573,0,0.9139453998588434
cell1_abs,Cell-1 |x|,abs,15,0.85,4.255050341288249,0.2336867820057604,3.335059576564365,0.8501498457487061,0,0.9764348549131124
cell1_abs,Cell-1 |x|,abs,16,0.9,2.6712274187140994,0.3874833662476804,1.9655385149849787,0.8998501542512939,0,1.027379338984552
cell1_abs,Cell-1 |x|,abs,17,0.95,0.6121034158600701,0.6528096000353495,0.26309900813632536,0.9499906040466427,0,1.044500606349803
cell1_x2,Cell-1 X²,x2,0,0.1,14.144370290968153,0.0026455026947789667,12.683566941155327,0.10014984574870617,0,0.35455414552385434
cell1_x2,Cell-1 X²,x2,1,0.15,11.712644894917807,0.005698005772299234,10.373908042907715,0.14985015425129372,0,0.38905177005900116
cell1_x2,Cell-1 X²,x2,2,0.2,12.488304668002659,0.008903134200308055,11.3008910285102,0.19999060404664257,0,0.4255651587940038
cell1_x2,Cell-1 X²,x2,3,0.25,13.431456247965494,0.011164247782693957,12.420849906073677,0.25,0,0.4519031004905271
cell1_x2,Cell-1 X²,x2,4,0.3,11.520239935980904,0.006323769015984389,10.331635210249159,0.30000939595335735,0,0.49447137320875295
cell1_x2,Cell-1 X²,x2,5,0.35,11.744407335917154,0.010228034936719468,10.564556439717611,0.3501498457487061,0,0.5381794470210675
cell1_x2,Cell-1 X²,x2,6,0.4,12.975750605265299,0.01727944395194448,11.967688030666775,0.3998501542512938,0,0.5720734127967215
cell1_x2,Cell-1 X²,x2,7,0.45,13.307379828559029,0.005775393090314322,12.18295701344808,0.4499906040466426,0,0.618222304374982
cell1_x2,Cell-1 X²,x2,8,0.5,11.198811266157362,0.012770976664291465,10.125461790296766,0.5,0,0.6441753068560501
cell1_x2,Cell-1 X²,x2,9,0.55,11.82878483666314,0.03532721723119414,10.693418078952366,0.5500093959533574,0,0.6995385690598951
cell1_x2,Cell-1 X²,x2,10,0.6,8.927787197960747,0.04565653649883133,7.8755664295620385,0.6001498457487062,0,0.750425391768696
cell1_x2,Cell-1 X²,x2,11,0.65,8.698006312052408,0.05055200205081035,7.736923058827718,0.6498501542512938,0,0.7923831587987485
cell1_x2,Cell-1 X²,x2,12,0.7,7.088988039228651,0.054186930672989915,6.0372598436143665,0.6999906040466426,0,0.8364232592866748
cell1_x2,Cell-1 X²,x2,13,0.75,6.2640859550899926,0.10117281549092791,5.248615529802111,0.75,0,0.865672783000648
cell1_x2,Cell-1 X²,x2,14,0.8,5.083514014879863,0.19685066698326004,4.221155497762892,0.8000093959533573,0,0.9245735745272616
cell1_x2,Cell-1 X²,x2,15,0.85,3.7595287362734475,0.27492615663343006,2.9175950818591647,0.8501498457487061,0,0.9835040419691928
cell1_x2,Cell-1 X²,x2,16,0.9,2.6189953221215143,0.38433755396140945,1.8565650118721857,0.8998501542512939,0,1.0174679076187882
cell1_x2,Cell-1 X²,x2,17,0.95,0.585207344757186,0.6504776875178019,0.23361775610182015,0.9499906040466427,0,1.0397116352600486
paper,Paper |x|,abs,0,0.1,14.25604894426134,0.0013888889095849443,12.845267825656467,0.09651415851926894,0,0.5837511325127337
paper,Paper |x|,abs,1,0.15,11.60441255569458,0.0033421346710787777,10.359810140397814,0.14876618672289485,0,0.6095793994241675
paper,Paper |x|,abs,2,0.2,12.369837178124321,0.008801383897662156,11.071887069278294,0.19717734881033755,0,0.6317987038365873
paper,Paper |x|,abs,3,0.25,11.789568212297228,0.019588784625132867,10.772083653344048,0.24996083959899748,0,0.6620633255232623
paper,Paper |x|,abs,4,0.3,11.704020182291666,0.01413334637052482,10.592721144358316,0.2982324927578686,0,0.701708735621837
paper,Paper |x|,abs,5,0.35,11.710204230414497,0.015132501721382134,10.680266380310059,0.34647499811826643,0,0.7419372591518966
paper,Paper |x|,abs,6,0.4,12.170986440446642,0.025419439810017732,10.969031439887154,0.3987857669233962,0,0.7832092913167943
paper,Paper |x|,abs,7,0.45,11.271714316474068,0.022750028098622945,10.277249548170301,0.44713818840933506,0,0.8251995371615323
paper,Paper |x|,abs,8,0.5,9.760278330908882,0.023306541869209843,8.60834370719062,0.49998041979949875,0,0.866243785853121
paper,Paper |x|,abs,9,0.55,8.893751197391087,0.03955048157109152,7.6661744647555885,0.5481933323568662,0,0.9272565610838233
paper,Paper |x|,abs,10,0.6,8.557203663720024,0.0252768891967005,7.607950475480822,0.5964945783187676,0,0.9704823092762476
paper,Paper |x|,abs,11,0.65,8.109722084469265,0.04509306595557262,7.033200449413723,0.6488053471238975,0,1.0257261645439641
paper,Paper |x|,abs,12,0.7,6.2026121616363525,0.09965566462940635,5.100098927815755,0.6971577686098364,0,1.0723705616363606
paper,Paper |x|,abs,13,0.75,4.977282285690308,0.16028740877906478,3.933073149787055,0.75,0,1.1312144838451084
