method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs,Cell-1 |x|,abs,0,0.1,189,0.3582040160120615,0.32751753970969383,0.030686476302367618,0.09334717460317458,0.12403365090554222,0.19236617460317457,0.07971136772486771,0.07052020370370368,0.015109417974830572,0.026694772528513974,0.7822964651874764,0.3932228261831576,0.10014984574870615,2.64021164021164,1.0,0.0
cell1_abs,Cell-1 |x|,abs,1,0.15,189,0.3856621933593482,0.35497571705698056,0.030686476302367618,0.09564608994708994,0.12633256624945757,0.21151739417989418,0.07751987830687829,0.09355821428571427,0.015411132266597096,0.032401100663399206,0.7294601580453297,0.33071201440518494,0.1498501542512938,3.6507936507936507,1.0,0.0
cell1_abs,Cell-1 |x|,abs,2,0.2,189,0.4255251693476861,0.3948386930453184,0.030686476302367618,0.0970426984126984,0.12772917471506604,0.24581749735449732,0.08338769576719575,0.12110677248677247,0.015521862401217957,0.03645663487690461,0.6860781591681261,0.2893353114052424,0.19999060404664257,4.386243386243386,1.0,0.0
cell1_abs,Cell-1 |x|,abs,3,0.25,189,0.4499650264690619,0.41927855016669424,0.030686476302367618,0.0979325238095238,0.12861900011189142,0.2693218148148148,0.08434281216931215,0.14592185185185183,0.01576804232207078,0.03625616922028476,0.6392438435463836,0.24334486230971317,0.25,5.211640211640212,1.0,0.0
cell1_abs,Cell-1 |x|,abs,4,0.3,189,0.49923544714584644,0.4685489708434788,0.030686476302367618,0.0998000291005291,0.13048650540289672,0.3080022751322751,0.09154868518518518,0.1756874206349206,0.01543771424798891,0.04530895236268556,0.5996123301801543,0.2124244236441516,0.3000093959533574,5.804232804232805,1.0,0.0
cell1_abs,Cell-1 |x|,abs,5,0.35,189,0.5362299551373606,0.505543478834993,0.030686476302367618,0.09838391798941797,0.12907039429178563,0.34015884126984125,0.09890522486772485,0.20174842857142855,0.0154185819700754,0.05158213760565824,0.5595392628853756,0.18358891792398277,0.3501498457487061,6.1534391534391535,1.0,0.0
cell1_abs,Cell-1 |x|,abs,6,0.4,189,0.576897974030594,0.5462114977282263,0.030686476302367618,0.0993773148148148,0.13006379111718244,0.3761065634920635,0.10785903968253965,0.227451373015873,0.015514581996415295,0.055213037424932665,0.5297699109330852,0.16390349183763772,0.3998501542512938,6.476190476190476,1.0,0.0
cell1_abs,Cell-1 |x|,abs,7,0.45,189,0.6133708836707668,0.5826844073683991,0.030686476302367618,0.09978552910052908,0.13047200540289675,0.41065032804232804,0.11625213227513226,0.25321991005291006,0.01519508994425884,0.05705346028128309,0.4922486434212674,0.14137471573693408,0.4499906040466426,6.62962962962963,1.0,0.0
cell1_abs,Cell-1 |x|,abs,8,0.5,189,0.6490468569967851,0.6183603806944175,0.030686476302367618,0.10133074867724867,0.1320172249796163,0.44734920899470904,0.12651060317460316,0.27835179100529095,0.015953269796987957,0.05372715322547169,0.453237976750763,0.12137115411657501,0.5,6.888888888888889,1.0,0.0
cell1_abs,Cell-1 |x|,abs,9,0.55,189,0.694881357548242,0.6641948812458742,0.030686476302367618,0.10046778306878304,0.1311542593711507,0.4840154365079365,0.1357937751322751,0.30620159523809526,0.01569303701676069,0.06401862465239386,0.4190087282300863,0.10420191256457532,0.5500093959533574,6.883597883597884,1.0,0.0
cell1_abs,Cell-1 |x|,abs,10,0.6,189,0.7526383650503288,0.7219518887479611,0.030686476302367618,0.10264533862433861,0.13333181492670626,0.5293863809523809,0.15237821164021162,0.3336498227513227,0.01601743912472134,0.07390273004652012,0.3832866361009933,0.08799578683086169,0.6001498457487062,6.64021164021164,1.0,0.0
cell1_abs,Cell-1 |x|,abs,11,0.65,189,0.7992433863200836,0.7685569100177159,0.030686476302367618,0.10190603439153438,0.13259251069390202,0.5720043571428571,0.16583814814814815,0.3601919603174603,0.016150687860630442,0.0784958306226938,0.3516440319399985,0.07454561682605235,0.6498501542512938,6.285714285714286,1.0,0.0
cell1_abs,Cell-1 |x|,abs,12,0.7,189,0.8380590591410638,0.8073725828386961,0.030686476302367618,0.10369373544973544,0.13438021175210307,0.6112091746031746,0.17902613756613758,0.38510820634920634,0.0163415026648965,0.0761281701208895,0.31832677062117937,0.06133856912138596,0.6999906040466426,5.925925925925926,1.0,0.0
cell1_abs,Cell-1 |x|,abs,13,0.75,189,0.867716994711311,0.8370305184089434,0.030686476302367618,0.10234455026455026,0.1330310265669179,0.6475624973544973,0.19014697089947089,0.4121046455026455,0.0172285290395535,0.06989494175034221,0.2827048613443458,0.049608867319803344,0.75,5.518518518518518,1.0,0.0
cell1_abs,Cell-1 |x|,abs,14,0.8,189,0.9139453998588434,0.8832589235564756,0.030686476302367618,0.1042987275132275,0.13498520381559515,0.6780305026455026,0.1945992566137566,0.43750922486772487,0.01663017986963188,0.0842995135281136,0.25184168332014917,0.03954183834570421,0.8000093959533574,4.73015873015873,1.0,0.0
cell1_abs,Cell-1 |x|,abs,15,0.85,189,0.9764348549131124,0.9457483786107447,0.030686476302367618,0.10337273280423279,0.13405920910660044,0.7244063756613757,0.21263055026455027,0.4657348571428571,0.017189925881447563,0.10077934426368854,0.21334309028905057,0.02891173943009952,0.8501498457487062,3.994708994708995,1.0,0.0
cell1_abs,Cell-1 |x|,abs,16,0.9,189,1.027379338984552,0.9966928626821845,0.030686476302367618,0.10246974338624337,0.13315621968861102,0.771872896825397,0.23072029100529098,0.49329162962962964,0.01682268782326622,0.10552753464727802,0.17147790537481858,0.01899904044216898,0.8998501542512938,3.248677248677249,1.0,0.0
cell1_abs,Cell-1 |x|,abs,17,0.95,189,1.044500606349803,1.0138141300474355,0.030686476302367618,0.10369110846560844,0.1343775847679761,0.7969444391534392,0.23166496296296296,0.515613343915344,0.016939174590839233,0.09623940783754854,0.12291005930109389,0.010252466908207596,0.9499906040466426,2.0793650793650795,1.0,0.0
cell1_x2,Cell-1 X²,x2,0,0.1,189,0.35455414552385434,0.3211021243489725,0.03345202117488179,0.0928291746031746,0.12628119577805638,0.18637648412698413,0.07583782010582009,0.06984642328042326,0.015177312129664937,0.026719153489148748,0.7713028151522238,0.3815918927470212,0.10014984574870615,2.798941798941799,1.0,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,189,0.38905177005900116,0.3555997488841193,0.03345202117488179,0.09737291005291004,0.13082493122779185,0.21064080687830689,0.07685470105820105,0.0939915476190476,0.01529549208109967,0.03229053987180267,0.7144625820810833,0.31803294464393894,0.1498501542512938,3.7830687830687832,1.0,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,189,0.4255651587940038,0.392113137619122,0.03345202117488179,0.09723112433862433,0.13068314551350613,0.24331105026455024,0.08183878835978835,0.12137870105820105,0.015258412660350822,0.03631255035559647,0.6714355722266846,0.27794093650484836,0.19999060404664257,4.645502645502646,1.0,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,189,0.4519031004905271,0.4184510793156453,0.03345202117488179,0.09700195767195767,0.13045397884683946,0.2681792804232804,0.0820900476190476,0.1475501746031746,0.01630848677208021,0.03696135444832695,0.6260715033267699,0.23570012793969852,0.25,5.338624338624339,1.0,0.0
cell1_x2,Cell-1 X²,x2,4,0.3,189,0.49447137320875295,0.4610193520338711,0.03345202117488179,0.09715726719576719,0.130609288370649,0.3031546984126984,0.08990598412698411,0.17396137566137562,0.015415703670846045,0.04529168275455944,0.5885084310260714,0.20714939586699951,0.3000093959533574,5.978835978835979,1.0,0.0
cell1_x2,Cell-1 X²,x2,5,0.35,189,0.5381794470210675,0.5047274258461856,0.03345202117488179,0.09781458730158729,0.1312666084764691,0.33965713492063493,0.09959132539682539,0.19980808201058203,0.01557485708996412,0.051680846533999195,0.5483787781090805,0.17904690396848805,0.3501498457487061,6.391534391534392,1.0,0.0
cell1_x2,Cell-1 X²,x2,6,0.4,189,0.5720734127967215,0.5386213916218398,0.03345202117488179,0.09771499470899471,0.1311670158838765,0.3701037724867725,0.10380477777777776,0.22667374867724868,0.01561125922238538,0.05519136520368707,0.5178369526411333,0.15858969045063803,0.3998501542512938,6.624338624338624,1.0,0.0
cell1_x2,Cell-1 X²,x2,7,0.45,189,0.618222304374982,0.5847702832001003,0.03345202117488179,0.10358314285714285,0.13703516403202465,0.408639246031746,0.11560643386243385,0.25137337037037033,0.015390306883663996,0.05715758742754732,0.480466994240131,0.13716665809116663,0.4499906040466426,6.698412698412699,1.0,0.0
cell1_x2,Cell-1 X²,x2,8,0.5,189,0.6441753068560501,0.6107232856811682,0.03345202117488179,0.10027956878306878,0.1337315899579506,0.4409324365079365,0.12303898677248676,0.27648203439153435,0.015782433833000473,0.05372884655716238,0.44249948753763446,0.1179563620733836,0.5,6.7936507936507935,1.0,0.0
cell1_x2,Cell-1 X²,x2,9,0.55,189,0.6995385690598951,0.6660865478850133,0.03345202117488179,0.10050016137566135,0.13395218255054317,0.48559942328042327,0.13978600264550262,0.3034641349206349,0.01581172486914997,0.0641752383597786,0.4121452984030521,0.10226550177922321,0.5500093959533574,6.751322751322752,1.0,0.0
cell1_x2,Cell-1 X²,x2,10,0.6,189,0.750425391768696,0.7169733705938143,0.03345202117488179,0.10225571693121692,0.13570773810609874,0.5249256534391534,0.14896852645502642,0.33327814550264545,0.01593058198079383,0.07386141824265001,0.37637290474342766,0.0867143695947354,0.6001498457487062,6.576719576719577,1.0,0.0
cell1_x2,Cell-1 X²,x2,11,0.65,189,0.7923831587987485,0.7589311376238667,0.03345202117488179,0.10180697883597882,0.13525900001086064,0.5625961587301588,0.15941806613756612,0.35943645238095234,0.01612664552691274,0.07840135453081631,0.3450115155921411,0.07322339942215607,0.6498501542512938,6.190476190476191,1.0,0.0
cell1_x2,Cell-1 X²,x2,12,0.7,189,0.8364232592866748,0.802971238111793,0.03345202117488179,0.10338717195767194,0.13683919313255374,0.6067860978835978,0.17603716666666663,0.3838992751322751,0.016547894203867815,0.0762500740666553,0.3134238338861713,0.060458433375787435,0.6999906040466426,5.947089947089947,1.0,0.0
cell1_x2,Cell-1 X²,x2,13,0.75,189,0.865672783000648,0.8322207618257661,0.03345202117488179,0.10353673015873015,0.13698875133361196,0.6421907407407407,0.18777989417989416,0.4093860317460317,0.016681989364168266,0.06981130156212693,0.2798371275803123,0.04922516194600903,0.75,5.5132275132275135,1.0,0.0
cell1_x2,Cell-1 X²,x2,14,0.8,189,0.9245735745272616,0.8911215533523799,0.03345202117488179,0.10193207407407405,0.13538409524895587,0.6880561031746032,0.20214530158730157,0.43879392857142857,0.01671077242052109,0.0844226036831815,0.24887585074754143,0.03901239015437934,0.8000093959533574,4.73015873015873,1.0,0.0
cell1_x2,Cell-1 X²,x2,15,0.85,189,0.9835040419691928,0.9500520207943108,0.03345202117488179,0.10291179100529099,0.1363638121801728,0.729730537037037,0.21898642328042325,0.46327943121693116,0.01691293115259473,0.10049676159938803,0.21271034462436555,0.02894181391549484,0.8501498457487062,3.9682539682539684,1.0,0.0
cell1_x2,Cell-1 X²,x2,16,0.9,189,1.0174679076187882,0.9840158864439064,0.03345202117488179,0.10309482010582009,0.13654684128070188,0.7567761349206349,0.21922843386243385,0.49050863227513225,0.01775830683530003,0.10638662458215122,0.17147168235868093,0.019137671384861814,0.8998501542512938,3.185185185185185,1.0,0.0
cell1_x2,Cell-1 X²,x2,17,0.95,189,1.0397116352600486,1.006259614085167,0.03345202117488179,0.10420573015873015,0.13765775133361194,0.7889679153439153,0.22601578835978833,0.5141427857142857,0.016857735393815205,0.09622823318870606,0.12228299795511968,0.010174489841259298,0.9499906040466426,2.0317460317460316,1.0,0.0
paper,Paper |x|,abs,0,0.1,189,0.5837511325127337,0.553064656210366,0.030686476302367618,0.29206875925925924,0.32275523556162694,0.2198867328042328,0.09636380423280422,0.07432020105820104,0.015257058236452278,0.025852105910421624,0.7183071054005749,0.3366793113410788,0.09651415851926895,4.529100529100529,0.5714285714285714,0.0
paper,Paper |x|,abs,1,0.15,189,0.6095793994241675,0.5788929231217999,0.030686476302367618,0.3094239021164021,0.3401103784187698,0.2222785026455026,0.08502540476190475,0.09530245767195766,0.01564562959330417,0.031544888766590826,0.6665883669876075,0.2801467274862622,0.14876618672289488,5.867724867724868,0.5238095238095238,0.0
paper,Paper |x|,abs,2,0.2,189,0.6317987038365873,0.6011122275342197,0.030686476302367618,0.3020186243386243,0.332705100640992,0.24768992063492062,0.08608058994708993,0.12123573015873014,0.015625650767808506,0.03577803179286613,0.6280965101190661,0.24810947911449208,0.19717734881033752,7.306878306878307,0.6666666666666666,0.0
paper,Paper |x|,abs,3,0.25,189,0.6620633255232623,0.6313768492208947,0.030686476302367618,0.29621319312169314,0.32689966942406073,0.28256361375661376,0.09208751587301585,0.14888315873015873,0.015822730140474684,0.03677731220211297,0.5816334450922945,0.21065200636626547,0.2499608395989975,8.624338624338625,0.9523809523809523,0.0
paper,Paper |x|,abs,4,0.3,189,0.701708735621837,0.6710222593194695,0.030686476302367618,0.297556373015873,0.32824284931824066,0.3122231349206349,0.09613527777777775,0.17515944708994707,0.016366391546196353,0.04487635983676502,0.5482282113461268,0.18639132143959164,0.2982324927578687,10.037037037037036,0.6666666666666666,0.0
paper,Paper |x|,abs,5,0.35,189,0.7419372591518966,0.7112507828495288,0.030686476302367618,0.30091276455026456,0.3315992408526322,0.345430335978836,0.10319076455026453,0.20175528306878307,0.015969523751033943,0.048938158569394236,0.5107937717031708,0.16244862256226714,0.34647499811826643,11.354497354497354,0.5238095238095238,0.0
paper,Paper |x|,abs,6,0.4,189,0.7832092913167943,0.7525228150144266,0.030686476302367618,0.29698070899470896,0.3276671852970766,0.38784331216931217,0.11678942328042327,0.22925006084656083,0.01583492061093681,0.051863873239468596,0.4723159951113519,0.13938017370839595,0.3987857669233961,12.74074074074074,0.5238095238095238,0.0
paper,Paper |x|,abs,7,0.45,189,0.8251995371615323,0.7945130608591645,0.030686476302367618,0.3060665079365079,0.33675298423887556,0.41823618253968253,0.12239534126984125,0.2536818650793651,0.01547868776002096,0.05473168262295302,0.4451256255229945,0.12303379982236828,0.44713818840933506,13.883597883597883,0.6666666666666666,0.0
paper,Paper |x|,abs,8,0.5,189,0.866243785853121,0.8355573095507534,0.030686476302367618,0.30768906613756614,0.3383755424399338,0.45584335449735447,0.13188989947089946,0.281142664021164,0.016928677215541428,0.055096211700291185,0.4137873022605187,0.10744871096636249,0.49998041979949875,15.19047619047619,0.9523809523809523,0.0
