model,error_ceiling,method,feasible,actual_total_ms,achieved_error,budget_fraction
qwen05,0.42,paper,True,0.6917834758290781,0.4030440854618237,0.55
qwen05,0.42,cell1_abs,True,0.5847338653208538,0.40378030707379653,0.6
qwen05,0.42,cell1_x2,True,0.579382365349497,0.4030108034817709,0.6
qwen05,0.42,wcell1,True,0.5910931191000739,0.39835545425081537,0.6
qwen05,0.25,paper,True,0.8589359752413469,0.2460729783800031,0.8
qwen05,0.25,cell1_abs,True,0.7175172698538275,0.22788159269100378,0.85
qwen05,0.25,cell1_x2,True,0.7267313806316522,0.22835577487029013,0.85
qwen05,0.25,wcell1,True,0.7349604680078985,0.22768687179666897,0.85
qwen05,0.15,paper,True,0.9659475714950447,0.1149123118717282,0.95
qwen05,0.15,cell1_abs,True,0.7803300401672427,0.13071100937853014,0.95
qwen05,0.15,cell1_x2,True,0.7918718096077404,0.12918909010107785,0.95
qwen05,0.15,wcell1,True,0.7787966746559511,0.13002027137323263,0.95
smol360,0.42,paper,True,0.6316049444332833,0.41099682438468177,0.5
smol360,0.42,cell1_abs,True,0.4173564127733717,0.41243774278296363,0.55
smol360,0.42,cell1_x2,True,0.4164554125982816,0.4062325389139236,0.55
smol360,0.42,wcell1,True,0.41796219830504766,0.4048775201515546,0.55
smol360,0.25,paper,True,0.7316426187304523,0.24415588769174754,0.75
smol360,0.25,cell1_abs,True,0.516307841610811,0.21925598897394677,0.85
smol360,0.25,cell1_x2,True,0.5157058175001249,0.21928932411330085,0.85
smol360,0.25,wcell1,True,0.5203698651184251,0.21907006694920478,0.85
smol360,0.15,paper,True,0.8148806909813304,0.14129974864541536,0.9
smol360,0.15,cell1_abs,True,0.5403035328406011,0.13419352108169166,0.95
smol360,0.15,cell1_x2,True,0.5330185959923012,0.13366253626725028,0.95
smol360,0.15,wcell1,True,0.5334012387617193,0.13344278526566328,0.95
tiny11,0.42,paper,True,1.3089716670097256,0.4028516137410724,0.5
tiny11,0.42,cell1_abs,True,1.1093946994543198,0.4099959083019741,0.55
tiny11,0.42,cell1_x2,True,1.1196790403557817,0.3977560945564792,0.55
tiny11,0.42,wcell1,True,1.1319825248288702,0.3978033328340167,0.55
tiny11,0.25,paper,True,1.8378836979305802,0.24226263084167995,0.75
tiny11,0.25,cell1_abs,True,1.5537327148664537,0.2299602605727693,0.8
tiny11,0.25,cell1_x2,True,1.5713024299475447,0.22575554013666177,0.8
tiny11,0.25,wcell1,True,1.5762520653424434,0.22559782138301263,0.8
tiny11,0.15,paper,True,2.214734920541908,0.13992436065353328,0.9
tiny11,0.15,cell1_abs,True,1.8128682460415655,0.10382564744305985,0.95
tiny11,0.15,cell1_x2,True,1.7942445001801044,0.1039973674970309,0.95
tiny11,0.15,wcell1,True,1.7792003184360417,0.10260270589903465,0.95
