case_key,score_kind,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.0378880016505718
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.0389119982719421
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.0286720003932714
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.0327679999172687
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.0235520005226135
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.0307199992239475
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.0264640003442764
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.0256960000842809
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.0256319995969533
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.0256639998406171
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.0245760008692741
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.0378880016505718
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.030944000929594
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.0358400009572505
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.029696000739932
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.0337920002639293
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.0317439995706081
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.0326719991862773
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.0492479987442493
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.0348160006105899
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.0357119999825954
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.0389119982719421
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.0245760008692741
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.029696000739932
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.0277120005339384
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.0274560004472732
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.0327679999172687
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.0286079999059438
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.0257280003279447
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.028863999992609
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.0348160006105899
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.025407999753952
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.0248000007122755
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.0204799994826316
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.029696000739932
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.0255040004849433
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.0245760008692741
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.0389119982719421
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.0327679999172687
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.028863999992609
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.0327679999172687
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.0307199992239475
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.0307199992239475
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.0368640013039112
