method,method_label,score_kind,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
cell1_abs,Cell-1 |x|,abs,0,0.1,14.729342142740885,0.0,12.814517656962076,0.1003709049409237,0,0.31738386518255013
cell1_abs,Cell-1 |x|,abs,1,0.15,14.842748641967773,0.0042735043292243995,13.062526067097984,0.1496290950590762,0,0.33777956354323546
cell1_abs,Cell-1 |x|,abs,2,0.2,16.966935793558758,0.017857143034537632,15.745850245157877,0.1998145475295381,0,0.3862441987448618
cell1_abs,Cell-1 |x|,abs,3,0.25,13.706032435099283,0.0079365080843369,12.1913210550944,0.25,0,0.3914716666325056
cell1_abs,Cell-1 |x|,abs,4,0.3,18.300700187683105,0.016483516742785736,16.954069137573242,0.3001854524704619,0,0.4346326196048714
cell1_abs,Cell-1 |x|,abs,5,0.35,12.055096308390299,0.0061728395521640665,10.532745997111002,0.3503709049409236,0,0.433316801580448
cell1_abs,Cell-1 |x|,abs,6,0.4,16.504846572875977,0.0250305254012346,15.11768913269043,0.39962909505907634,0,0.46272434959291464
cell1_abs,Cell-1 |x|,abs,7,0.45,16.91568883260091,0.016483516742785736,15.53076171875,0.4498145475295381,0,0.5016226511468262
cell1_abs,Cell-1 |x|,abs,8,0.5,11.87932014465332,0.020672229429086,10.40811268488566,0.5,0,0.515753539349082
cell1_abs,Cell-1 |x|,abs,9,0.55,16.138757705688477,0.0122100124135613,14.940879185994467,0.550185452470462,0,0.5578929604170342
cell1_abs,Cell-1 |x|,abs,10,0.6,14.17025375366211,0.0,12.821798324584961,0.6003709049409238,0,0.5847338653208538
cell1_abs,Cell-1 |x|,abs,11,0.65,10.769001801808676,0.011904762436946234,9.572369575500488,0.6496290950590762,0,0.6332865718345367
cell1_abs,Cell-1 |x|,abs,12,0.7,9.46451727549235,0.0459232137848933,8.081489404042562,0.6998145475295381,0,0.6715569846194509
cell1_abs,Cell-1 |x|,abs,13,0.75,9.816039403279623,0.014414597923556899,8.864742120107016,0.75,0,0.6710910954170255
cell1_abs,Cell-1 |x|,abs,14,0.8,7.375723838806152,0.0415140427649021,6.022492408752441,0.8001854524704616,0,0.7057664688899593
cell1_abs,Cell-1 |x|,abs,15,0.85,8.067495187123617,0.018467643608649536,6.604584693908691,0.8503709049409238,0,0.7175172698538275
cell1_abs,Cell-1 |x|,abs,16,0.9,5.744589010874431,0.07444715872406957,4.65483283996582,0.8996290950590762,0,0.7399714684742377
cell1_abs,Cell-1 |x|,abs,17,0.95,0.8004399140675863,0.5985619425773621,0.34854714075724286,0.9498145475295384,0,0.7803300401672427
cell1_x2,Cell-1 X²,x2,0,0.1,14.567340532938639,0.0079365080843369,13.112372716267904,0.1003709049409237,0,0.3129793569456566
cell1_x2,Cell-1 X²,x2,1,0.15,10.376606305440268,0.017094017316897702,8.844251950581869,0.1496290950590762,0,0.3425322936217747
cell1_x2,Cell-1 X²,x2,2,0.2,11.722798347473145,0.026709402600924165,10.374401092529297,0.1998145475295381,0,0.37111078560971644
cell1_x2,Cell-1 X²,x2,3,0.25,16.033318519592285,0.03349274334808187,15.116494496663412,0.25,0,0.3909391425749858
cell1_x2,Cell-1 X²,x2,4,0.3,11.308652559916178,0.014804640319198334,9.905603885650635,0.3001854524704619,0,0.4233003734766793
cell1_x2,Cell-1 X²,x2,5,0.35,13.904350280761719,0.011904762436946234,12.345171610514322,0.3503709049409236,0,0.43589231731100686
cell1_x2,Cell-1 X²,x2,6,0.4,18.620438893636067,0.020757021382451033,17.49732716878255,0.39962909505907634,0,0.46259330164247087
cell1_x2,Cell-1 X²,x2,7,0.45,18.58624203999837,0.0079365080843369,17.211422602335613,0.4498145475295381,0,0.5092511667112065
cell1_x2,Cell-1 X²,x2,8,0.5,13.84953498840332,0.0079365080843369,12.475688298543295,0.5,0,0.5140374123685397
cell1_x2,Cell-1 X²,x2,9,0.55,17.576766649882,0.016483516742785736,16.07364845275879,0.550185452470462,0,0.5624812542256221
cell1_x2,Cell-1 X²,x2,10,0.6,11.097322146097818,0.018382851965725366,9.688033739725748,0.6003709049409238,0,0.579382365349497
cell1_x2,Cell-1 X²,x2,11,0.65,10.63358243306478,0.008241758371392833,9.447781880696615,0.6496290950590762,0,0.6114449287097813
cell1_x2,Cell-1 X²,x2,12,0.7,8.860098361968994,0.024945734068751297,7.41988738377889,0.6998145475295381,0,0.6700032062157979
cell1_x2,Cell-1 X²,x2,13,0.75,9.463168462117514,0.016398725099861566,8.048666000366211,0.75,0,0.6581800157101145
cell1_x2,Cell-1 X²,x2,14,0.8,8.71243953704834,0.04090354219079017,7.457980791727702,0.8001854524704616,0,0.7229217462723879
cell1_x2,Cell-1 X²,x2,15,0.85,7.020316123962402,0.06028693666060764,5.693454106648763,0.8503709049409238,0,0.7267313806316522
cell1_x2,Cell-1 X²,x2,16,0.9,5.6528472900390625,0.05928639446695644,4.408030827840169,0.8996290950590762,0,0.7409707065073876
cell1_x2,Cell-1 X²,x2,17,0.95,0.7976552645365397,0.5595068534215292,0.3015635808308919,0.9498145475295384,0,0.7918718096077404
paper,Paper |x|,abs,0,0.1,15.982606252034506,0.0,14.205514272054037,0.0914423335123523,0,0.479262143000598
paper,Paper |x|,abs,1,0.15,9.566867669423422,0.0061728395521640665,8.120063622792562,0.1469605934479054,0,0.49437357913482755
paper,Paper |x|,abs,2,0.2,10.765671253204346,0.026404151692986464,9.243848959604898,0.19276987110633734,0,0.5137647621841043
paper,Paper |x|,abs,3,0.25,13.975594520568848,0.03988604123393693,12.772258599599203,0.2498825187969925,0,0.5381424524242423
paper,Paper |x|,abs,4,0.3,13.072008768717447,0.034866369018952036,11.805938879648844,0.2956917964554242,0,0.5617241670241016
paper,Paper |x|,abs,5,0.35,13.598981539408365,0.0453975051641464,12.511402130126953,0.3413248523093448,0,0.5814952699817656
paper,Paper |x|,abs,6,0.4,14.995185852050781,0.05346967900792757,13.381945927937826,0.3970193340494092,0,0.6032935955410268
paper,Paper |x|,abs,7,0.45,12.067642529805502,0.041123999903599405,10.640253384908041,0.4426523899033297,0,0.6341745081102328
paper,Paper |x|,abs,8,0.5,11.198102315266928,0.0250305254012346,9.775863647460938,0.4999412593984962,0,0.6581547461163543
paper,Paper |x|,abs,9,0.55,12.092727025349935,0.02564102659622827,10.295479933420816,0.5455743152524167,0,0.6917834758290781
paper,Paper |x|,abs,10,0.6,11.046565691630045,0.017094017316897702,9.909470876057943,0.5913835929108485,0,0.7175543653423352
paper,Paper |x|,abs,11,0.65,11.417021115620932,0.028913987800478897,10.021965662638346,0.6470780746509129,0,0.7501212858965378
paper,Paper |x|,abs,12,0.7,8.72763919830322,0.055928640067577334,7.221096515655518,0.6927111305048334,0,0.7909418259429107
paper,Paper |x|,abs,13,0.75,6.747627894083659,0.0592016018927097,5.393749554951985,0.75,0,0.8241171348742927
paper,Paper |x|,abs,14,0.8,6.304669221242269,0.09729006017247832,5.1182756423950195,0.7956330558539206,0,0.8589359752413469
paper,Paper |x|,abs,15,0.85,5.293593009312947,0.1239994627734025,4.039776961008708,0.8414423335123523,0,0.8748529358658232
paper,Paper |x|,abs,16,0.9,4.449502309163411,0.17124542593955994,3.3761655489603677,0.8969605934479055,0,0.9126558572756706
paper,Paper |x|,abs,17,0.95,2.572913328806559,0.29610975583394367,1.7847410837809246,0.9427698711063374,0,0.9659475714950447
wcell1,WCell-1 X²·W²,weighted,0,0.1,13.483743667602539,0.008547008658448834,12.262394587198893,0.1003709049409237,0,0.31603667449994405
wcell1,WCell-1 X²·W²,weighted,1,0.15,12.826882044474283,0.0079365080843369,11.455438613891602,0.1496290950590762,0,0.34022944448977704
wcell1,WCell-1 X²·W²,weighted,2,0.2,13.16118049621582,0.008547008658448834,11.973031997680664,0.1998145475295381,0,0.37149606363036136
wcell1,WCell-1 X²·W²,weighted,3,0.25,12.182439804077148,0.0079365080843369,11.002702871958414,0.25,0,0.3924690395011258
wcell1,WCell-1 X²·W²,weighted,4,0.3,12.279208501180014,0.0167039752316971,10.491020520528158,0.3001854524704619,0,0.41970111944376476
wcell1,WCell-1 X²·W²,weighted,5,0.35,14.094550132751465,0.0079365080843369,12.574570973714193,0.3503709049409236,0,0.4375041903656759
wcell1,WCell-1 X²·W²,weighted,6,0.4,18.110040028889973,0.016483516742785736,16.969456990559895,0.39962909505907634,0,0.48224981741384004
