case_key,score_kind,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.03788800165057182
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.03891199827194214
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.028672000393271446
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.023552000522613525
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.030719999223947525
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.026464000344276428
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.025696000084280968
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.025631999596953392
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.02566399984061718
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.02457600086927414
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.03788800165057182
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.03094400092959404
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03379200026392937
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03174399957060814
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.03267199918627739
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.049247998744249344
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.03481600061058998
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.035711999982595444
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.03891199827194214
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.02457600086927414
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.027712000533938408
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.027456000447273254
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.02860799990594387
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.025728000327944756
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.028863999992609024
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.03481600061058998
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.025407999753952026
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.024800000712275505
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.020479999482631683
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.02550400048494339
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.02457600086927414
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.03891199827194214
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.028863999992609024
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.030719999223947525
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.030719999223947525
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.03686400130391121
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.03488000109791756
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,0,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,1,0.023520000278949738
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,2,0.020479999482631683
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,0,0.022752000018954277
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,1,0.021503999829292297
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,0,0.026623999699950218
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,1,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,2,0.025567999109625816
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,0,0.03379200026392937
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,1,0.02969600073993206
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,2,0.02751999907195568
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,0,0.028672000393271446
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,2,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,1,0.03788800165057182
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,2,0.03174399957060814
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,0,0.033695999532938004
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,1,0.028672000393271446
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,2,0.02739199995994568
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,x2,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,x2,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,x2,2,0.02735999971628189
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,weighted,0,0.03299200162291527
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,weighted,1,0.03174399957060814
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,weighted,2,0.03145600110292435
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,abs,0,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,abs,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,abs,2,0.021344000473618507
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,x2,0,0.023552000522613525
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,x2,1,0.021503999829292297
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,x2,2,0.020287999883294106
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,weighted,0,0.02844800055027008
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,weighted,1,0.024800000712275505
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,weighted,2,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.mlp.gate_proj,abs,0,0.03891199827194214
qwen05|cal_short_factual|model.layers.12.mlp.gate_proj,abs,1,0.03174399957060814
qwen05|cal_short_factual|model.layers.12.mlp.gate_proj,abs,2,0.030527999624609947
qwen05|cal_short_factual|model.layers.12.mlp.gate_proj,x2,0,0.031968001276254654
