kl_ceiling,method,method_label,feasible,actual_total_ms,achieved_kl,budget_fraction
12.0,paper,Paper |x|,True,0.5772454049643231,11.939176241556803,0.35
12.0,cell1_abs,Cell-1 |x|,True,0.35081346030833704,11.778364181518555,0.3
12.0,cell1_x2,Cell-1 X²,True,0.37214352418150787,11.833989461263021,0.4
12.0,wcell1,WCell-1 X²·W²,True,0.4284144760878758,9.060641447703043,0.6
10.0,paper,Paper |x|,True,0.6316049444332833,9.874275207519531,0.5
10.0,cell1_abs,Cell-1 |x|,True,0.4322265398307121,8.800652503967285,0.6
10.0,cell1_x2,Cell-1 X²,True,0.4295931983944424,8.216761747996012,0.6
10.0,wcell1,WCell-1 X²·W²,True,0.4284144760878758,9.060641447703043,0.6
8.0,paper,Paper |x|,True,0.6611585714402028,7.290286382039388,0.55
8.0,cell1_abs,Cell-1 |x|,True,0.45011727809609114,6.633320013682048,0.65
8.0,cell1_x2,Cell-1 X²,True,0.4662875159779503,6.286375999450684,0.7
8.0,wcell1,WCell-1 X²·W²,True,0.45416018259811214,7.8405764897664385,0.65
6.0,paper,Paper |x|,True,0.7051501352171151,5.855186462402344,0.7
6.0,cell1_abs,Cell-1 |x|,True,0.47564105513193966,5.941623051961263,0.75
6.0,cell1_x2,Cell-1 X²,True,0.4794965473618526,4.595595041910808,0.8
6.0,wcell1,WCell-1 X²·W²,True,0.48141203147882505,4.169761498769124,0.8
4.0,paper,Paper |x|,True,0.742908595464627,3.4873650074005127,0.8
4.0,cell1_abs,Cell-1 |x|,True,0.516307841610811,3.205604076385498,0.85
4.0,cell1_x2,Cell-1 X²,True,0.5157058175001249,2.904508590698242,0.85
4.0,wcell1,WCell-1 X²·W²,True,0.5203698651184251,2.704469919204712,0.85
2.0,paper,Paper |x|,True,0.8148806909813304,1.2068026065826416,0.9
2.0,cell1_abs,Cell-1 |x|,True,0.5345953179182467,1.53949773311615,0.9
2.0,cell1_x2,Cell-1 X²,True,0.5330185959923012,0.7064610520998637,0.95
2.0,wcell1,WCell-1 X²·W²,True,0.5334012387617193,0.6374769409497579,0.95
1.0,paper,Paper |x|,True,0.8509355876855007,0.45047812660535175,0.95
1.0,cell1_abs,Cell-1 |x|,True,0.5403035328406011,0.6999584833780924,0.95
1.0,cell1_x2,Cell-1 X²,True,0.5330185959923012,0.7064610520998637,0.95
1.0,wcell1,WCell-1 X²·W²,True,0.5334012387617193,0.6374769409497579,0.95
