method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs,Cell-1 |x|,abs,0,0.1,63,0.3068840080860692,0.2765429285683433,0.030341079517725866,0.08379610317460318,0.11413718269232905,0.15804053968253967,0.0743228492063492,0.04199785714285713,0.014866793631679436,0.01983949207952092,0.7995153495243618,0.4022883886382693,0.1,1.3015873015873016,1.0,0.0
cell1_abs,Cell-1 |x|,abs,1,0.15,63,0.30925150820163033,0.2789104286839044,0.030341079517725866,0.08693249206349205,0.11727357158121793,0.15542377777777777,0.06845691269841267,0.04915308730158729,0.01495161905352554,0.021602539789108952,0.7475459806266285,0.3399424638066973,0.15,1.6666666666666667,1.0,0.0
cell1_abs,Cell-1 |x|,abs,2,0.2,63,0.32275330155541593,0.29241222203769,0.030341079517725866,0.08598675396825396,0.11632783348597983,0.16677492857142853,0.06900154761904762,0.06081599999999998,0.015343238023065331,0.02430730147494205,0.6977630055376461,0.29513650186478146,0.2,2.0634920634920637,1.0,0.0
cell1_abs,Cell-1 |x|,abs,3,0.25,63,0.33213533339085843,0.3017942538731325,0.030341079517725866,0.08783336507936507,0.11817444459709095,0.171207873015873,0.06396503968253966,0.07102807142857141,0.015961904788301055,0.026791110989593275,0.6520407057943798,0.24499678800976463,0.25,2.4444444444444446,1.0,0.0
cell1_abs,Cell-1 |x|,abs,4,0.3,63,0.35081346030833704,0.3204723807906111,0.030341079517725866,0.086525373015873,0.11686645253359888,0.18936034126984125,0.06746268253968252,0.08256853174603174,0.015509333210213734,0.029077333294682983,0.6041549603853907,0.2109408965186467,0.3,2.6825396825396823,1.0,0.0
cell1_abs,Cell-1 |x|,abs,5,0.35,63,0.37440726211569986,0.34406618259797395,0.030341079517725866,0.08878710317460316,0.11912818269232904,0.20821926984126982,0.07342874603174603,0.09504425396825396,0.01564241256860508,0.03141739701349579,0.5503375510138179,0.17380188192640028,0.35,2.7777777777777777,1.0,0.0
cell1_abs,Cell-1 |x|,abs,6,0.4,63,0.3833899053291536,0.3530488258114277,0.030341079517725866,0.0887741349206349,0.11911521443836079,0.21598770634920636,0.07149957142857141,0.1051333095238095,0.015674412634874096,0.032612571906712275,0.5248720936831974,0.1564316352208455,0.4,3.0,1.0,0.0
cell1_abs,Cell-1 |x|,abs,7,0.45,63,0.3881531428238021,0.3578120633060762,0.030341079517725866,0.0896522222222222,0.11999330173994809,0.22052250793650793,0.0681976746031746,0.11589865079365076,0.01495314285986949,0.03268419028747645,0.4793203954422285,0.1315644307742043,0.45,3.1746031746031744,1.0,0.0
cell1_abs,Cell-1 |x|,abs,8,0.5,63,0.4054089286724584,0.3750678491547325,0.030341079517725866,0.09084757142857142,0.12118865094629729,0.2348432619047619,0.07062957142857142,0.1266215873015873,0.01501155557436125,0.03436546024703785,0.44707470458178294,0.11429905607586811,0.5,3.4126984126984126,1.0,0.0
cell1_abs,Cell-1 |x|,abs,9,0.55,63,0.4173564127733717,0.38701533325564574,0.030341079517725866,0.08954107936507937,0.11988215888280523,0.2468969841269841,0.07129516666666665,0.13864524603174602,0.015204063468863998,0.0353732062947182,0.41243774278296363,0.0993973716856941,0.55,3.4285714285714284,1.0,0.0
cell1_abs,Cell-1 |x|,abs,10,0.6,63,0.4322265398307121,0.40188546031298616,0.030341079517725866,0.08971505555555555,0.12005613507328142,0.26026335714285714,0.07304449206349203,0.1497956587301587,0.015285841248456404,0.036621206366117,0.3714520610159352,0.08189743189584638,0.6,3.365079365079365,1.0,0.0
cell1_abs,Cell-1 |x|,abs,11,0.65,63,0.45011727809609114,0.41977619857836523,0.030341079517725866,0.09025676984126983,0.1205978493589957,0.2750137777777778,0.07633621428571427,0.1611792380952381,0.015539301559328983,0.03896634939998857,0.3458811388247543,0.07094527142388476,0.65,3.3492063492063493,1.0,0.0
cell1_abs,Cell-1 |x|,abs,12,0.7,63,0.46700829381265524,0.43666721429492933,0.030341079517725866,0.09160680158730157,0.12194788110502745,0.288626126984127,0.07804892063492061,0.17212773809523807,0.01588165074113811,0.04055263498236257,0.31364271434999647,0.059035374058617446,0.7,3.0793650793650795,1.0,0.0
cell1_abs,Cell-1 |x|,abs,13,0.75,63,0.47564105513193966,0.4452999756142137,0.030341079517725866,0.08855129365079364,0.11889237316851953,0.2989216349206349,0.07881007142857141,0.18268701587301586,0.0159253332734344,0.04190171376935069,0.27973008256346454,0.04789043797387013,0.75,3.0634920634920637,1.0,0.0
cell1_abs,Cell-1 |x|,abs,14,0.8,63,0.48233701582011723,0.4519959363023913,0.030341079517725866,0.08860139682539682,0.1189424763431227,0.30389384126984126,0.0725759365079365,0.193479873015873,0.015653587227302836,0.04384711097985028,0.2554621204497322,0.03958895565971491,0.8,2.619047619047619,1.0,0.0
cell1_abs,Cell-1 |x|,abs,15,0.85,63,0.516307841610811,0.48596676209308515,0.030341079517725866,0.08838133333333333,0.1187224128510592,0.3274891746031746,0.08404247619047618,0.20509349999999998,0.017135746052695595,0.0529605081038815,0.21925598897394677,0.02980992150685139,0.85,2.1904761904761907,1.0,0.0
cell1_abs,Cell-1 |x|,abs,16,0.9,63,0.5345953179182467,0.5042542384005207,0.030341079517725866,0.08997751587301586,0.12031859539074173,0.34574542063492064,0.08422800793650792,0.21953153174603174,0.015507301566974465,0.05302400032560973,0.18071909035955153,0.02079092320941739,0.9,1.8571428571428572,1.0,0.0
cell1_abs,Cell-1 |x|,abs,17,0.95,63,0.5403035328406011,0.5099624533228752,0.030341079517725866,0.09379461111111109,0.12413569062883698,0.34594155555555556,0.07647088095238093,0.23167288095238092,0.015815619039275298,0.05441066761693307,0.13419352108169166,0.012241596267336834,0.95,1.3968253968253967,1.0,0.0
