model,error_ceiling,method,feasible,actual_total_ms,achieved_error,budget_fraction
smol360,0.42,paper,True,0.6316049444332833,0.41099682438468177,0.5
smol360,0.42,cell1_abs,True,0.4173564127733717,0.41243774278296363,0.55
smol360,0.42,cell1_x2,True,0.4164554125982816,0.4062325389139236,0.55
smol360,0.42,wcell1,True,0.41796219830504766,0.4048775201515546,0.55
smol360,0.25,paper,True,0.7316426187304523,0.24415588769174754,0.75
smol360,0.25,cell1_abs,True,0.516307841610811,0.21925598897394677,0.85
smol360,0.25,cell1_x2,True,0.5157058175001249,0.21928932411330085,0.85
smol360,0.25,wcell1,True,0.5203698651184251,0.21907006694920478,0.85
smol360,0.15,paper,True,0.8148806909813304,0.14129974864541536,0.9
smol360,0.15,cell1_abs,True,0.5403035328406011,0.13419352108169166,0.95
smol360,0.15,cell1_x2,True,0.5330185959923012,0.13366253626725028,0.95
smol360,0.15,wcell1,True,0.5334012387617193,0.13344278526566328,0.95
