case_key,method,budget_index,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.253174
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.248696
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,0,0,0.090128
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,0,1,0.085009
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,0,0.104325
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,1,0.08019
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,0,0,0.083476
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,0,1,0.077565
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.270797
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.257281
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,1,0,0.090008
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,1,1,0.082273
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,0,0.095929
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,1,0.090278
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,1,0,0.09618
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,1,1,0.0913
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.284111
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.265216
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,2,0,0.098635
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,2,1,0.092523
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,0,0.097973
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,1,0.093364
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,2,0,0.097793
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,2,1,0.089247
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.285975
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.263673
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,3,0,0.094146
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,3,1,0.118882
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,0,0.090769
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,1,0.096531
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,3,0,0.087263
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,3,1,0.082855
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.303027
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.271338
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,4,0,0.090499
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,4,1,0.08535
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,0,0.091241
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,1,0.085169
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,4,0,0.090099
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,4,1,0.09111
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.250268
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.230571
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,5,0,0.094156
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,5,1,0.087765
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,0,0.092112
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,1,0.09602
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,5,0,0.09081
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,5,1,0.094527
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,0,0.255478
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,1,0.243957
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,6,0,0.091531
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,6,1,0.081412
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,6,0,0.086371
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,6,1,0.080601
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,6,0,0.08576
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,6,1,0.078567
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,0,0.249106
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,1,0.242834
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,7,0,0.092543
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,7,1,0.084518
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,7,0,0.091892
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,7,1,0.095699
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,7,0,0.089708
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,7,1,0.084558
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,0,0.335437
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,1,0.241601
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,8,0,0.091882
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,8,1,0.086342
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,8,0,0.09639
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,8,1,0.089948
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,8,0,0.086511
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,8,1,0.084348
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,0,0.249467
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,1,0.255598
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,9,0,0.093134
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,9,1,0.08572
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,9,0,0.099185
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,9,1,0.092263
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,9,0,0.095268
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,9,1,0.09049
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,0,0.261219
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,1,0.245129
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,10,0,0.095578
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,10,1,0.092793
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,10,0,0.09572
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,10,1,0.087844
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,10,0,0.141825
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,10,1,0.110657
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,0,0.289812
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,1,0.263973
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,11,0,0.09081
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,11,1,0.099476
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,11,0,0.092653
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,11,1,0.090239
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,11,0,0.092533
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,11,1,0.100078
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,12,0,0.259976
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,12,1,0.25124
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,12,0,0.099997
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,12,1,0.092282
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,12,0,0.094167
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,12,1,0.087434
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,12,0,0.088094
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,12,1,0.081983
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,13,0,0.266909
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,13,1,0.247854
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,13,0,0.091821
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,13,1,0.084598
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,13,0,0.099867
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,13,1,0.085991
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,13,0,0.091051
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,13,1,0.084588
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,14,0,0.254146
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,14,1,0.248995
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,14,0,0.093104
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,14,1,0.086983
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,14,0,0.087053
