kl_ceiling,method,method_label,feasible,actual_total_ms,achieved_kl,budget_fraction
12.0,paper,Paper |x|,True,0.7486266116343689,10.535964330037435,0.1
12.0,cell1_abs,Cell-1 |x|,True,0.45034417476756516,10.481675465901693,0.1
12.0,cell1_x2,Cell-1 X²,True,0.45006871466639115,10.455547968546549,0.1
12.0,wcell1,WCell-1 X²·W²,True,0.4494902939251226,10.200464884440104,0.1
10.0,paper,Paper |x|,True,0.8861752938873909,9.373730818430582,0.25
10.0,cell1_abs,Cell-1 |x|,True,0.712260261524331,9.320094426472982,0.3
10.0,cell1_x2,Cell-1 X²,True,0.5168841673635234,9.847338676452637,0.15
10.0,wcell1,WCell-1 X²·W²,True,0.6337776113817133,9.771457354227701,0.25
8.0,paper,Paper |x|,True,1.428827635982189,7.2982401847839355,0.55
8.0,cell1_abs,Cell-1 |x|,True,1.0259781029688149,7.941281636555989,0.5
8.0,cell1_x2,Cell-1 X²,True,1.1196790403557817,7.6346540451049805,0.55
8.0,wcell1,WCell-1 X²·W²,True,1.1319825248288702,7.62782621383667,0.55
6.0,paper,Paper |x|,True,1.6477726836879405,5.682878176371257,0.65
6.0,cell1_abs,Cell-1 |x|,True,1.3143263090296227,5.96458101272583,0.65
6.0,cell1_x2,Cell-1 X²,True,1.4547994449197583,3.5166688760121665,0.75
6.0,wcell1,WCell-1 X²·W²,True,1.321431721890493,5.084275722503662,0.65
4.0,paper,Paper |x|,True,1.8378836979305802,3.249419609705607,0.75
4.0,cell1_abs,Cell-1 |x|,True,1.5537327148664537,3.3778536319732666,0.8
4.0,cell1_x2,Cell-1 X²,True,1.4547994449197583,3.5166688760121665,0.75
4.0,wcell1,WCell-1 X²·W²,True,1.450204167285238,3.0740129947662354,0.75
2.0,paper,Paper |x|,True,2.0892747308711788,1.3138494491577148,0.85
2.0,cell1_abs,Cell-1 |x|,True,1.6954794532746986,1.4920517603556316,0.85
2.0,cell1_x2,Cell-1 X²,True,1.5713024299475447,1.9425074656804402,0.8
2.0,wcell1,WCell-1 X²·W²,True,1.7598766751707027,1.3113653262456257,0.85
1.0,paper,Paper |x|,True,2.214734920541908,0.6967296401659647,0.9
1.0,cell1_abs,Cell-1 |x|,True,1.8075712305611722,0.7295955121517181,0.9
1.0,cell1_x2,Cell-1 X²,True,1.7777660479013702,0.6122411489486694,0.9
1.0,wcell1,WCell-1 X²·W²,True,1.7792003184360417,0.2948138117790222,0.95
