method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs,Cell-1 |x|,abs,0,0.1,63,0.45034417476756516,0.4184493174967151,0.03189485727085003,0.10618388095238095,0.13807873822323097,0.25996473809523807,0.09661996031746031,0.1190136587301587,0.01499326979475357,0.03730742865434237,0.8092977901299795,0.39886651720319477,0.1000786323051948,4.761904761904762,1.0,0.0
cell1_abs,Cell-1 |x|,abs,1,0.15,63,0.5099555083331787,0.47806065106232865,0.03189485727085003,0.10858357142857142,0.14047842869942145,0.30520228571428576,0.09557195238095237,0.16597629365079364,0.015669841274973843,0.04860495264449759,0.7589145515646253,0.33706268810090567,0.14992136769480519,6.666666666666667,1.0,0.0
cell1_abs,Cell-1 |x|,abs,2,0.2,63,0.5675780077427806,0.5356831504719305,0.03189485727085003,0.108046373015873,0.13994123028672306,0.35926547619047616,0.09948646825396826,0.21786103174603175,0.015515936464662535,0.05285536480091861,0.7142909209406565,0.29449893179393943,0.2001572646103896,8.031746031746032,1.0,0.0
cell1_abs,Cell-1 |x|,abs,3,0.25,63,0.6262880793838217,0.5943932221129716,0.03189485727085003,0.11042980952380951,0.14232466679465955,0.41624176190476186,0.1069246111111111,0.2675887380952381,0.015722158675392423,0.05199949200900769,0.6499873425752397,0.23772147628996104,0.25,9.555555555555555,1.0,0.0
cell1_abs,Cell-1 |x|,abs,4,0.3,63,0.712260261524331,0.6803654042534809,0.03189485727085003,0.10937904761904761,0.14127390488989766,0.4884070555555555,0.11866242063492062,0.327957873015873,0.015218793665842362,0.06736050741303529,0.6073284324199434,0.2025332904997326,0.29984273538961037,10.492063492063492,1.0,0.0
cell1_abs,Cell-1 |x|,abs,5,0.35,63,0.800965801715934,0.769070944445084,0.03189485727085003,0.11287584126984125,0.1447706985406913,0.5527020238095238,0.13426490476190475,0.37754953174603173,0.01536812695364152,0.08812495241207732,0.5733084688110958,0.17761082592464625,0.3500786323051948,11.079365079365079,1.0,0.0
cell1_abs,Cell-1 |x|,abs,6,0.4,63,0.8845796671697138,0.8526848098988636,0.03189485727085003,0.1138708968253968,0.14576575409624687,0.6278612777777778,0.15528732539682538,0.4281527142857143,0.015595682512318285,0.09535695278337074,0.537040137582355,0.15476237119190273,0.3999213676948052,11.666666666666666,1.0,0.0
cell1_abs,Cell-1 |x|,abs,7,0.45,63,0.950336857041672,0.918441999770822,0.03189485727085003,0.11329070634920634,0.14518556362005638,0.7016165634920636,0.17816892857142855,0.47650734920634924,0.015184761852853782,0.08834996807669832,0.500837928837254,0.1342600886783902,0.45015726461038963,11.746031746031745,1.0,0.0
cell1_abs,Cell-1 |x|,abs,8,0.5,63,1.0259781029688149,0.9940832456979648,0.03189485727085003,0.11557886507936506,0.1474737223502151,0.774296126984127,0.2007825238095238,0.5233290793650793,0.016843174554644076,0.08736507907982852,0.44522620441894684,0.10966935801127597,0.5,12.126984126984127,1.0,0.0
cell1_abs,Cell-1 |x|,abs,9,0.55,63,1.1093946994543198,1.0774998421834698,0.03189485727085003,0.11620908730158727,0.14810394457243733,0.8443150079365079,0.2212343095238095,0.5737651666666667,0.016030984102851763,0.10094476284252268,0.4099959083019741,0.09355184956202427,0.5498427353896104,12.063492063492063,1.0,0.0
cell1_abs,Cell-1 |x|,abs,10,0.6,63,1.2409546899994206,1.2090598327285704,0.03189485727085003,0.12055860317460317,0.15245346044545321,0.9337080873015873,0.2577784206349206,0.6247691111111111,0.017060571379723007,0.13773257087265686,0.37462754021324807,0.07868169129840907,0.6000786323051949,11.65079365079365,1.0,0.0
cell1_abs,Cell-1 |x|,abs,11,0.65,63,1.3143263090296227,1.2824314517587725,0.03189485727085003,0.11832169841269839,0.15021655568354847,1.0018463888888889,0.27639449206349204,0.6718707301587301,0.016870095320637216,0.14539326913654801,0.33650756781063385,0.06464503019575084,0.6499213676948051,11.126984126984127,1.0,0.0
cell1_abs,Cell-1 |x|,abs,12,0.7,63,1.3756118989910853,1.3437170417202353,0.03189485727085003,0.12258738888888886,0.15448224615973893,1.0806374603174602,0.3106177698412698,0.7157990555555556,0.017136254066985705,0.12335593844690015,0.3069990936903253,0.05386211096294338,0.7001572646103896,10.698412698412698,1.0,0.0
cell1_abs,Cell-1 |x|,abs,13,0.75,63,1.456418833584968,1.424523976314118,0.03189485727085003,0.12159603968253967,0.15349089695338972,1.166866984126984,0.3399907063492063,0.7733979841269841,0.017717841258715963,0.11834311124587811,0.267228114758692,0.0423014987082708,0.75,9.603174603174603,1.0,0.0
cell1_abs,Cell-1 |x|,abs,14,0.8,63,1.5537327148664537,1.5218378575956035,0.03189485727085003,0.1239350238095238,0.15582988108037385,1.2393636587301586,0.3599020873015873,0.8232078253968255,0.017757460223658643,0.14078171483226237,0.2299602605727693,0.03204175593361018,0.7998427353896104,8.158730158730158,1.0,0.0
cell1_abs,Cell-1 |x|,abs,15,0.85,63,1.6954794532746986,1.6635845960038484,0.03189485727085003,0.12319714285714285,0.1550920001279929,1.3314487857142858,0.3976199523809524,0.8790671746031745,0.018168888749584264,0.19076977868283548,0.19289168920220123,0.023011292730058894,0.8500786323051949,6.761904761904762,1.0,0.0
cell1_abs,Cell-1 |x|,abs,16,0.9,63,1.8075712305611722,1.7756763732903222,0.03189485727085003,0.12290418253968252,0.15479903981053256,1.431824380952381,0.44615194444444445,0.9284537142857143,0.01876063483752423,0.20218717496073432,0.15239774412845095,0.014574747236948113,0.8999213676948051,5.444444444444445,1.0,0.0
cell1_abs,Cell-1 |x|,abs,17,0.95,63,1.8128682460415655,1.7809733887707155,0.03189485727085003,0.12240026984126984,0.15429512711211987,1.4839369285714286,0.4565010476190476,0.9661698095238096,0.01861942850703753,0.15601676185097954,0.10382564744305985,0.007041988864777533,0.9501572646103896,3.0793650793650795,1.0,0.0
cell1_x2,Cell-1 X²,x2,0,0.1,63,0.45006871466639115,0.4099650953394799,0.04010361932691124,0.10455899206349205,0.14466261139040332,0.2522911825396825,0.09053482539682538,0.11871143650793649,0.015467682454202804,0.03764723828210239,0.7947788233794864,0.37949184387449236,0.1000786323051948,4.984126984126984,1.0,0.0
cell1_x2,Cell-1 X²,x2,1,0.15,63,0.5168841673635234,0.4767805480366122,0.04010361932691124,0.10804949999999998,0.14815311932691125,0.30423479365079364,0.09394184126984126,0.16694715079365077,0.01577142858138628,0.04872482580443219,0.7443331385415698,0.3207433148035927,0.14992136769480519,6.857142857142857,1.0,0.0
cell1_x2,Cell-1 X²,x2,2,0.2,63,0.5691065243464349,0.5290029050195236,0.04010361932691124,0.10697400793650791,0.14707762726341916,0.3546318174603174,0.09339632539682538,0.22014754761904762,0.014971428535996872,0.05242565108670124,0.701060418808271,0.2807774960048615,0.2001572646103896,8.555555555555555,1.0,0.0
cell1_x2,Cell-1 X²,x2,3,0.25,63,0.6340691114808586,0.5939654921539473,0.04010361932691124,0.10873086507936507,0.1488344844062763,0.41708681746031745,0.10391100793650793,0.27236366666666667,0.015925841272941603,0.05222196834132307,0.6387263765883824,0.22942232044916303,0.25,9.873015873015873,1.0,0.0
cell1_x2,Cell-1 X²,x2,4,0.3,63,0.7159757226664746,0.6758721033395633,0.04010361932691124,0.11023518253968252,0.1503388018665938,0.48315361904761905,0.11884132539682539,0.3232122380952381,0.015250285688255474,0.06723301606400613,0.5919834484183599,0.19375826915105182,0.29984273538961037,11.126984126984127,1.0,0.0
cell1_x2,Cell-1 X²,x2,5,0.35,63,0.80940283325803,0.7692992139311187,0.04010361932691124,0.11084398412698411,0.15094760345389538,0.5543739603174603,0.13828632539682537,0.37345584920634917,0.015773460313322944,0.08830780917335118,0.5548419238082947,0.16721499344659227,0.3500786323051948,11.80952380952381,1.0,0.0
cell1_x2,Cell-1 X²,x2,6,0.4,63,0.8814834125661859,0.8413797932392747,0.04010361932691124,0.11156005555555555,0.15166367488246682,0.6187451984126984,0.14977597619047617,0.4264474365079365,0.01567542855997402,0.09539911071104659,0.5127273874859961,0.14180398838860644,0.3999213676948052,12.158730158730158,1.0,0.0
cell1_x2,Cell-1 X²,x2,7,0.45,63,0.9581094530180381,0.9180058336911268,0.04010361932691124,0.11523955555555554,0.1553431748824668,0.6989059603174603,0.17811350793650793,0.4726416666666667,0.015462095257900016,0.08839822256021079,0.4782907266228918,0.12347960566717477,0.45015726461038963,12.380952380952381,1.0,0.0
cell1_x2,Cell-1 X²,x2,8,0.5,63,1.015059143287337,0.9749555239604257,0.04010361932691124,0.11512703174603174,0.15523065107294298,0.7561098888888889,0.1933621984126984,0.5163176031746032,0.01642463486345983,0.0872939684620452,0.4318988524259083,0.10384938262757797,0.5,12.222222222222221,1.0,0.0
cell1_x2,Cell-1 X²,x2,9,0.55,63,1.1196790403557817,1.0795754210288704,0.04010361932691124,0.11625560317460316,0.1563592225015144,0.8452591190476191,0.2317551349206349,0.563562380952381,0.016517079346591464,0.10154361946005666,0.3977560945564792,0.0889218477975754,0.5498427353896104,12.11111111111111,1.0,0.0
cell1_x2,Cell-1 X²,x2,10,0.6,63,1.2423006115621489,1.2021969922352378,0.04010361932691124,0.1206681984126984,0.16077181773960966,0.9262104444444444,0.2534754603174603,0.6212364682539683,0.017178920570701778,0.1381394288073929,0.36228746524642386,0.07541392246882117,0.6000786323051949,11.619047619047619,1.0,0.0
cell1_x2,Cell-1 X²,x2,11,0.65,63,1.3209041745207386,1.2808005551938273,0.04010361932691124,0.11902374603174602,0.15912736535865726,0.9992462698412699,0.2748927380952381,0.6719322777777778,0.017196698498631226,0.1453338408221801,0.3267677240664997,0.06260138182413005,0.6499213676948051,10.936507936507937,1.0,0.0
cell1_x2,Cell-1 X²,x2,12,0.7,63,1.3729790556662764,1.3328754363393651,0.04010361932691124,0.1214705238095238,0.16157414313643506,1.070235642857143,0.29939064285714284,0.7160868253968254,0.017493841341800112,0.12367542833089824,0.298668581371506,0.05232651555348952,0.7001572646103896,10.619047619047619,1.0,0.0
