case_key,score_kind,repetition,runtime_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.04819199815392494
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.03174399957060814
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.03788800165057182
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.024639999493956566
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.035840000957250595
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.04095999896526337
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.03174399957060814
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.03686400130391121
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.02457600086927414
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.038047999143600464
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.03280000016093254
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.03062400035560131
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.035840000957250595
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03481600061058998
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.034623999148607254
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.04710400104522705
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.039712000638246536
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.03468799963593483
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.044096000492572784
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.03481600061058998
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.035840000957250595
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.03766399994492531
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.04198399931192398
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.03379200026392937
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.02457600086927414
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.02377600036561489
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.021503999829292297
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.025728000327944756
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.02643200010061264
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.03891199827194214
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.05644800141453743
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.055296000093221664
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.06451199948787689
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.05734400078654289
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.05350400134921074
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,0,0.03891199827194214
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,1,0.04403200000524521
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,2,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,0,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,0,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,1,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,2,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,0,0.04198399931192398
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,1,0.03388800099492073
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,2,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,0,0.03891199827194214
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,2,0.029664000496268272
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,0,0.05427199974656105
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,1,0.04403200000524521
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,2,0.05737600103020668
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,0,0.034015998244285583
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,2,0.027424000203609467
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,1,0.03174399957060814
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,2,0.0307839997112751
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,2,0.025760000571608543
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,0,0.03270399942994118
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,1,0.03094400092959404
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,2,0.030912000685930252
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,0,0.03296000137925148
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,1,0.029503999277949333
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,2,0.02672000043094158
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,weighted,0,0.031647998839616776
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,weighted,1,0.030912000685930252
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,weighted,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,abs,0,0.03788800165057182
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,abs,1,0.03379200026392937
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,abs,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,x2,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,x2,1,0.030559999868273735
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,x2,2,0.04403200000524521
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,weighted,0,0.036639999598264694
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,weighted,1,0.035840000957250595
tiny11|cal_short_factual|model.layers.10.mlp.up_proj,weighted,2,0.03481600061058998
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,abs,0,0.03481600061058998
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,abs,1,0.028672000393271446
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,abs,2,0.02672000043094158
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,x2,0,0.0379519984126091
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,x2,1,0.028384000062942505
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,x2,2,0.025855999439954758
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,weighted,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,weighted,1,0.0315839983522892
tiny11|cal_short_factual|model.layers.10.mlp.down_proj,weighted,2,0.02969600073993206
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,abs,0,0.09011200070381165
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,abs,1,0.028672000393271446
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,abs,2,0.027648000046610832
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,x2,0,0.028672000393271446
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,x2,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,x2,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,weighted,0,0.03174399957060814
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,weighted,1,0.030719999223947525
tiny11|cal_short_factual|model.layers.21.self_attn.q_proj,weighted,2,0.043007999658584595
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,abs,0,0.028575999662280083
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,abs,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,abs,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,x2,0,0.022495999932289124
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,x2,1,0.020479999482631683
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,x2,2,0.02457600086927414
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,weighted,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,weighted,1,0.025855999439954758
tiny11|cal_short_factual|model.layers.21.self_attn.k_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,abs,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,abs,1,0.025631999596953392
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,abs,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,x2,0,0.02393599972128868
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,x2,1,0.021536000072956085
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,x2,2,0.021344000473618507
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,weighted,0,0.026335999369621277
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,weighted,1,0.025855999439954758
tiny11|cal_short_factual|model.layers.21.self_attn.v_proj,weighted,2,0.023903999477624893
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,abs,0,0.026240000501275063
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,abs,1,0.0226879995316267
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,abs,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,x2,0,0.02252800017595291
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,x2,1,0.022336000576615334
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,x2,2,0.02236800082027912
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,weighted,0,0.026688000187277794
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,weighted,1,0.024607999250292778
tiny11|cal_short_factual|model.layers.21.self_attn.o_proj,weighted,2,0.024768000468611717
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,abs,0,0.03699199855327606
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,abs,1,0.028704000636935234
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,abs,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,x2,0,0.026784000918269157
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,x2,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,weighted,0,0.0326399989426136
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,weighted,1,0.032607998698949814
tiny11|cal_short_factual|model.layers.21.mlp.gate_proj,weighted,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,abs,0,0.03580800071358681
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,abs,1,0.02956799976527691
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,abs,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,x2,0,0.026815999299287796
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,x2,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,x2,2,0.021695999428629875
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,weighted,0,0.02768000029027462
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,weighted,1,0.027648000046610832
tiny11|cal_short_factual|model.layers.21.mlp.up_proj,weighted,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,abs,0,0.03564799949526787
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,abs,2,0.02687999978661537
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,x2,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,x2,1,0.02380800060927868
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,x2,2,0.023520000278949738
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,weighted,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,weighted,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.21.mlp.down_proj,weighted,2,0.026464000344276428
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,abs,0,0.02739199995994568
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,abs,1,0.023552000522613525
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,abs,2,0.021503999829292297
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,x2,0,0.023552000522613525
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,x2,1,0.02223999984562397
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,x2,2,0.020479999482631683
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,weighted,0,0.02659199945628643
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,weighted,1,0.025599999353289604
tiny11|cal_medium_reasoning|model.layers.0.self_attn.q_proj,weighted,2,0.02534399926662445
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,abs,0,0.03558399900794029
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,abs,1,0.02969600073993206
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,abs,2,0.027648000046610832
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,x2,0,0.028672000393271446
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,x2,1,0.02582399919629097
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,x2,2,0.026623999699950218
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,weighted,0,0.04291199892759323
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,weighted,1,0.03392000123858452
tiny11|cal_medium_reasoning|model.layers.0.self_attn.k_proj,weighted,2,0.03062400035560131
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,abs,0,0.03392000123858452
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,abs,1,0.030592000111937523
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,abs,2,0.028416000306606293
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,x2,0,0.028672000393271446
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,x2,1,0.026655999943614006
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,x2,2,0.02582399919629097
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,weighted,0,0.03155200183391571
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,weighted,1,0.02735999971628189
tiny11|cal_medium_reasoning|model.layers.0.self_attn.v_proj,weighted,2,0.025599999353289604
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,abs,0,0.053247999399900436
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,abs,1,0.054048001766204834
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,abs,2,0.02755199931561947
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,x2,0,0.033984001725912094
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,x2,1,0.02457600086927414
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,x2,2,0.02252800017595291
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,weighted,0,0.043136000633239746
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,weighted,1,0.04608000069856644
tiny11|cal_medium_reasoning|model.layers.0.self_attn.o_proj,weighted,2,0.044064000248909
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,abs,0,0.05632000043988228
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,abs,1,0.04598399996757507
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,abs,2,0.043007999658584595
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,x2,0,0.06963200122117996
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,x2,1,0.03379200026392937
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,x2,2,0.027904000133275986
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,weighted,0,0.0360959991812706
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,weighted,1,0.03283200040459633
tiny11|cal_medium_reasoning|model.layers.0.mlp.gate_proj,weighted,2,0.030719999223947525
tiny11|cal_medium_reasoning|model.layers.0.mlp.up_proj,abs,0,0.039744000881910324
tiny11|cal_medium_reasoning|model.layers.0.mlp.up_proj,abs,1,0.02550400048494339
