method,method_label,budget_fraction,cases,target_importance,importance,two_line_ms,released_ms,selected_fraction,chunks,feasible_rate
paper,Paper fixed-R,0.125,54,0.36997669957295554,0.36997669957295554,0.2482384562939404,0.24348391878974981,0.1245888157894736,9.0,1.0
exact_coverage,Exact global I-bound,0.125,54,0.36997669957295554,0.370086026737592,0.22534838334049537,0.22711809774368558,0.12811814692982454,6.314814814814815,1.0
cell1_fixed,Cell-1 fixed-R,0.125,54,0.36997669957295554,0.30888242412978817,0.19993753142221427,0.20377334004788952,0.125,3.111111111111111,0.0
cell1_bound,Cell-1 I-bound,0.125,54,0.36997669957295554,0.37987266390859203,0.27469637870659647,0.27990824418298066,0.17186357821637424,4.333333333333333,1.0
paper,Paper fixed-R,0.25,54,0.5504447985977134,0.5504447985977134,0.47626548134332675,0.46723436116486505,0.2491776315789473,15.962962962962964,1.0
exact_coverage,Exact global I-bound,0.25,54,0.5504447985977134,0.5504888904446662,0.42319051420395887,0.4278615186211883,0.2526879264132553,10.425925925925926,1.0
cell1_fixed,Cell-1 fixed-R,0.25,54,0.5504447985977134,0.49585096742406454,0.39931425007839916,0.40686159754277257,0.25,5.481481481481482,0.2037037037037037
cell1_bound,Cell-1 I-bound,0.25,54,0.5504447985977134,0.5567316253005645,0.492973148991605,0.5034230959672485,0.3105659113060429,6.0,1.0
paper,Paper fixed-R,0.375,54,0.6791365511038422,0.6791365511038422,0.6945412610048473,0.6822027361398244,0.375,21.74074074074074,1.0
exact_coverage,Exact global I-bound,0.375,54,0.6791365511038422,0.6791614264640253,0.6137950151980547,0.6235290266170378,0.37591374269005845,13.703703703703704,1.0
cell1_fixed,Cell-1 fixed-R,0.375,54,0.6791365511038422,0.6266970346367373,0.5943794488841212,0.6074535386801364,0.375,6.2592592592592595,0.3148148148148148
cell1_bound,Cell-1 I-bound,0.375,54,0.6791365511038422,0.6836310408725089,0.6975490217266569,0.7125766708296191,0.4401041666666667,6.592592592592593,1.0
paper,Paper fixed-R,0.5,54,0.7755486808773023,0.7755486808773023,0.9077854354371288,0.893419370168754,0.4995888157894737,27.01851851851852,1.0
exact_coverage,Exact global I-bound,0.5,54,0.7755486808773023,0.7755637635055282,0.7938828944221691,0.80781502880971,0.49001355384990253,16.85185185185185,1.0
cell1_fixed,Cell-1 fixed-R,0.5,54,0.7755486808773023,0.7356355936984461,0.7934125066941462,0.8099509494671463,0.5,6.5,0.3333333333333333
cell1_bound,Cell-1 I-bound,0.5,54,0.7755486808773023,0.7801047403909819,0.8892619991457027,0.9083937600240274,0.5613045199805069,6.2592592592592595,1.0
paper,Paper fixed-R,0.625,54,0.8507722608710018,0.8507722608710018,1.1112049527380155,1.0977069245034874,0.6241776315789473,31.166666666666668,1.0
exact_coverage,Exact global I-bound,0.625,54,0.8507722608710018,0.8507830444081015,0.9650701012678484,0.9834308254505244,0.6007743969298246,19.51851851851852,1.0
cell1_fixed,Cell-1 fixed-R,0.625,54,0.8507722608710018,0.8204736613366309,0.9894965153581551,1.0110548568163706,0.625,6.2407407407407405,0.3333333333333333
cell1_bound,Cell-1 I-bound,0.625,54,0.8507722608710018,0.8535893741165959,1.0631747066445243,1.0862003927695723,0.6714828520955166,5.666666666666667,1.0
paper,Paper fixed-R,0.75,54,0.9104120208869785,0.9104120208869785,1.316026442877769,1.3047272768292768,0.75,35.05555555555556,1.0
exact_coverage,Exact global I-bound,0.75,54,0.9104120208869785,0.9104190717516543,1.1271627620166307,1.1504805732294476,0.7073929398148148,21.51851851851852,1.0
cell1_fixed,Cell-1 fixed-R,0.75,54,0.9104120208869785,0.892947139281471,1.1877866049378356,1.2130899712413696,0.75,4.944444444444445,0.35185185185185186
cell1_bound,Cell-1 I-bound,0.75,54,0.9104120208869785,0.9126858568605086,1.2263148207169758,1.2526799526803556,0.7748157285575048,4.555555555555555,1.0
paper,Paper fixed-R,0.875,54,0.9579423610407797,0.9579423610407797,1.5100956028362051,1.506309693570545,0.8745888157894736,36.75925925925926,1.0
exact_coverage,Exact global I-bound,0.875,54,0.9579423610407797,0.957949144112328,1.285047462083955,1.3123232373800835,0.8086851242690059,22.962962962962962,1.0
cell1_fixed,Cell-1 fixed-R,0.875,54,0.9579423610407797,0.9521877171784283,1.3847292222940213,1.4145472539017188,0.875,3.4074074074074074,0.37037037037037035
cell1_bound,Cell-1 I-bound,0.875,54,0.9579423610407797,0.9606626405214806,1.377359787106015,1.4070087406756058,0.8703855994152048,2.9814814814814814,1.0
