trial,target_cv,spatial_mode,budget_fraction,budget_rows,target_importance,method,method_label,selected_rows,selected_fraction,importance,two_line_ms,released_ms,chunks,meets_target
0,1.07,hot-cold,0.125,608,0.2846406720071315,paper,Paper fixed-R,606,0.12458881578947369,0.2846406720071315,0.2113934923043843,0.2125722395577875,5,True
0,1.07,hot-cold,0.125,608,0.2846406720071315,exact_coverage,Exact global I-bound,601,0.1235608552631579,0.2848017192049312,0.1955170335672645,0.199234306990952,4,True
0,1.07,hot-cold,0.125,608,0.2846406720071315,cell1_fixed,Cell-1 fixed-R,608,0.125,0.28348674412651587,0.19779427023110951,0.20204944528238647,1,False
0,1.07,hot-cold,0.125,608,0.2846406720071315,cell1_bound,Cell-1 I-bound,632,0.1299342105263158,0.29277880875342355,0.20560193879286384,0.2100250812803754,1,True
0,1.07,hot-cold,0.25,1216,0.4799481081989538,paper,Paper fixed-R,1212,0.24917763157894737,0.4799481081989538,0.4090301170364929,0.4126386073298829,9,True
0,1.07,hot-cold,0.25,1216,0.4799481081989538,exact_coverage,Exact global I-bound,1188,0.24424342105263158,0.4799543237992687,0.3868669458801198,0.3960135770800915,8,True
0,1.07,hot-cold,0.25,1216,0.4799481081989538,cell1_fixed,Cell-1 fixed-R,1216,0.25,0.48327992689970645,0.39558854046221903,0.40409889056477294,1,True
0,1.07,hot-cold,0.25,1216,0.4799481081989538,cell1_bound,Cell-1 I-bound,1216,0.25,0.48327992689970645,0.39558854046221903,0.40409889056477294,1,True
0,1.07,hot-cold,0.375,1824,0.6309267435626669,paper,Paper fixed-R,1824,0.375,0.6309267435626669,0.611294909597162,0.6158336644304624,13,True
0,1.07,hot-cold,0.375,1824,0.6309267435626669,exact_coverage,Exact global I-bound,1773,0.3645148026315789,0.6309383947546578,0.5767915149996007,0.5886562723242216,11,True
0,1.07,hot-cold,0.375,1824,0.6309267435626669,cell1_fixed,Cell-1 fixed-R,1824,0.375,0.6361395177484345,0.5933828106933285,0.6061483358471594,2,True
0,1.07,hot-cold,0.375,1824,0.6309267435626669,cell1_bound,Cell-1 I-bound,1800,0.37006578947368424,0.6325329770596104,0.5855751421315742,0.5982412832489747,2,True
0,1.07,hot-cold,0.5,2432,0.7432760672690228,paper,Paper fixed-R,2430,0.4995888157894737,0.7432760672690228,0.8109035085205183,0.8212858116775872,17,True
0,1.07,hot-cold,0.5,2432,0.7432760672690228,exact_coverage,Exact global I-bound,2371,0.48745888157894735,0.7432777910343092,0.7713325899966459,0.7887291062021303,15,True
0,1.07,hot-cold,0.5,2432,0.7432760672690228,cell1_fixed,Cell-1 fixed-R,2432,0.5,0.7500503400240754,0.7911770809244381,0.8081977811295459,1,True
0,1.07,hot-cold,0.5,2432,0.7432760672690228,cell1_bound,Cell-1 I-bound,2432,0.5,0.7500503400240754,0.7911770809244381,0.8081977811295459,1,True
0,1.07,hot-cold,0.625,3040,0.831595098655787,paper,Paper fixed-R,3036,0.6241776315789473,0.831595098655787,1.0220622419926113,1.0310093838114047,21,True
0,1.07,hot-cold,0.625,3040,0.831595098655787,exact_coverage,Exact global I-bound,2939,0.604235197368421,0.831599247851915,0.9563488381237896,0.9786269455629348,18,True
0,1.07,hot-cold,0.625,3040,0.831595098655787,cell1_fixed,Cell-1 fixed-R,3040,0.625,0.8415574894675971,0.9889713511555477,1.0102472264119324,1,True
0,1.07,hot-cold,0.625,3040,0.831595098655787,cell1_bound,Cell-1 I-bound,2967,0.6099917763157895,0.8320453710591883,0.9652230259468783,0.9859880002513827,1,True
0,1.07,hot-cold,0.75,3648,0.8944120927687398,paper,Paper fixed-R,3648,0.75,0.8944120927687398,1.2159930960069358,1.2312729624175978,23,True
0,1.07,hot-cold,0.75,3648,0.8944120927687398,exact_coverage,Exact global I-bound,3452,0.709703947368421,0.8944554203540562,1.1230029947989968,1.1484758909728288,21,True
0,1.07,hot-cold,0.75,3648,0.8944120927687398,cell1_fixed,Cell-1 fixed-R,3648,0.75,0.9113382905172718,1.186765621386657,1.2122966716943187,1,True
0,1.07,hot-cold,0.75,3648,0.8944120927687398,cell1_bound,Cell-1 I-bound,3502,0.719983552631579,0.8971564729248706,1.1392689709693185,1.1637782193732196,1,True
0,1.07,hot-cold,0.875,4256,0.9494152936631396,paper,Paper fixed-R,4254,0.8745888157894737,0.9494152936631396,1.4178084279538312,1.4365875612116117,26,True
0,1.07,hot-cold,0.875,4256,0.9494152936631396,exact_coverage,Exact global I-bound,4050,0.8326480263157895,0.9494262765572464,1.317544069796042,1.347077769601423,18,True
0,1.07,hot-cold,0.875,4256,0.9494152936631396,cell1_fixed,Cell-1 fixed-R,4256,0.875,0.9626394852277522,1.3845598916177666,1.414346116976705,1,True
0,1.07,hot-cold,0.875,4256,0.9494152936631396,cell1_bound,Cell-1 I-bound,4086,0.8400493421052632,0.9505921400101254,1.3292555726386737,1.357852028657617,1,True
0,1.07,local,0.125,608,0.3145534629638002,paper,Paper fixed-R,606,0.12458881578947369,0.3145534629638002,0.2581574516968302,0.2482752896166445,10,True
0,1.07,local,0.125,608,0.3145534629638002,exact_coverage,Exact global I-bound,669,0.13754111842105263,0.3145598951055682,0.2267356659101933,0.2280754517162996,5,True
0,1.07,local,0.125,608,0.3145534629638002,cell1_fixed,Cell-1 fixed-R,608,0.125,0.2562566104909804,0.19779427023110951,0.20204944528238647,3,False
0,1.07,local,0.125,608,0.3145534629638002,cell1_bound,Cell-1 I-bound,827,0.17002467105263158,0.3277499481638638,0.26903924585711775,0.27454479816777805,4,True
0,1.07,local,0.25,1216,0.5073519103616267,paper,Paper fixed-R,1212,0.24917763157894737,0.5073519103616267,0.4771806060506848,0.459844181426454,16,True
0,1.07,local,0.25,1216,0.5073519103616267,exact_coverage,Exact global I-bound,1263,0.2596628289473684,0.5074045208044574,0.4361386084168753,0.4429583755111562,10,True
0,1.07,local,0.25,1216,0.5073519103616267,cell1_fixed,Cell-1 fixed-R,1216,0.25,0.44232289922992646,0.39785396319383104,0.40684356571156743,7,False
0,1.07,local,0.25,1216,0.5073519103616267,cell1_bound,Cell-1 I-bound,1508,0.3100328947368421,0.5075744172045388,0.4920373460571033,0.5016585474613229,8,True
0,1.07,local,0.375,1824,0.6466288026345968,paper,Paper fixed-R,1824,0.375,0.6466288026345968,0.7043063589510127,0.6817711625916881,23,True
0,1.07,local,0.375,1824,0.6466288026345968,exact_coverage,Exact global I-bound,1867,0.38384046052631576,0.6466668256550607,0.6273612647694173,0.6366553669773115,13,True
0,1.07,local,0.375,1824,0.6466288026345968,cell1_fixed,Cell-1 fixed-R,1824,0.375,0.5810771165881201,0.5933828106933285,0.6056522680544487,8,False
