method,method_label,budget_fraction,cases,target_importance,importance,two_line_ms,released_ms,selected_fraction,chunks,feasible_rate
paper,Paper greedy,0.125,54,0.36997669957295554,0.36997669957295554,0.2482384562939404,0.24348391878974981,0.1245888157894736,9.0,1.0
quant,"Quant q=131,072",0.125,54,0.36997669957295554,0.38400626191606757,0.2380951281897948,0.24019643033396945,0.13679489522417151,6.555555555555555,1.0
global_supported,Two-line supported,0.125,54,0.36997669957295554,0.38400626191606757,0.2380951281897948,0.24019643033396945,0.13679489522417151,6.555555555555555,1.0
lookup_supported,Lookup supported,0.125,54,0.36997669957295554,0.3819912866435903,0.23881722048356618,0.2343141729549077,0.13310565911306038,7.12962962962963,1.0
exact_coverage,Exact global coverage,0.125,54,0.36997669957295554,0.370086026737592,0.22534838334049537,0.22711809774368558,0.12811814692982454,6.314814814814815,1.0
paper,Paper greedy,0.25,54,0.5504447985977134,0.5504447985977134,0.47626548134332675,0.46723436116486505,0.2491776315789473,15.962962962962964,1.0
quant,"Quant q=131,072",0.25,54,0.5504447985977134,0.561162994012253,0.4366173759031801,0.4416790300074363,0.2613532529239766,10.722222222222221,1.0
global_supported,Two-line supported,0.25,54,0.5504447985977134,0.561162994012253,0.4366173759031801,0.4416790300074363,0.2613532529239766,10.722222222222221,1.0
lookup_supported,Lookup supported,0.25,54,0.5504447985977134,0.5595564001680052,0.4390215505339395,0.434242788945794,0.25680357577972707,11.74074074074074,1.0
exact_coverage,Exact global coverage,0.25,54,0.5504447985977134,0.5504888904446662,0.42319051420395887,0.4278615186211883,0.2526879264132553,10.425925925925926,1.0
paper,Paper greedy,0.375,54,0.6791365511038422,0.6791365511038422,0.6945412610048473,0.6822027361398244,0.375,21.74074074074074,1.0
quant,"Quant q=131,072",0.375,54,0.6791365511038422,0.6870997582265396,0.6268614342810882,0.6365985409865587,0.38315134624756336,14.148148148148149,1.0
global_supported,Two-line supported,0.375,54,0.6791365511038422,0.6870997582265396,0.6268614342810882,0.6365985409865587,0.38315134624756336,14.148148148148149,1.0
lookup_supported,Lookup supported,0.375,54,0.6791365511038422,0.685916879916586,0.631379067270276,0.6276866798200099,0.37639726486354774,16.01851851851852,1.0
exact_coverage,Exact global coverage,0.375,54,0.6791365511038422,0.6791614264640253,0.6137950151980547,0.6235290266170378,0.37591374269005845,13.703703703703704,1.0
paper,Paper greedy,0.5,54,0.7755486808773023,0.7755486808773023,0.9077854354371288,0.893419370168754,0.4995888157894737,27.01851851851852,1.0
quant,"Quant q=131,072",0.5,54,0.7755486808773023,0.7846766403285507,0.8110215900082289,0.8253162271722061,0.5011231420565302,17.314814814814813,1.0
global_supported,Two-line supported,0.5,54,0.7755486808773023,0.7846188062516707,0.8108621288813853,0.8251705866243457,0.5010241532651072,17.314814814814813,1.0
lookup_supported,Lookup supported,0.5,54,0.7755486808773023,0.782014159752192,0.8136130201382402,0.8130120100468323,0.4920085587231969,19.61111111111111,1.0
exact_coverage,Exact global coverage,0.5,54,0.7755486808773023,0.7755637635055282,0.7938828944221691,0.80781502880971,0.49001355384990253,16.85185185185185,1.0
paper,Paper greedy,0.625,54,0.8507722608710018,0.8507722608710018,1.1112049527380155,1.0977069245034874,0.6241776315789473,31.166666666666668,1.0
quant,"Quant q=131,072",0.625,54,0.8507722608710018,0.8548498981009433,0.9750019166094022,0.9936269118101483,0.607151559454191,19.87037037037037,1.0
global_supported,Two-line supported,0.625,54,0.8507722608710018,0.8548498981009433,0.9750019166094022,0.9936269118101483,0.607151559454191,19.87037037037037,1.0
lookup_supported,Lookup supported,0.625,54,0.8507722608710018,0.8540334346838508,0.9808071714085043,0.9844591930150541,0.6007629751461989,22.444444444444443,1.0
exact_coverage,Exact global coverage,0.625,54,0.8507722608710018,0.8507830444081015,0.9650701012678484,0.9834308254505244,0.6007743969298246,19.51851851851852,1.0
paper,Paper greedy,0.75,54,0.9104120208869785,0.9104120208869785,1.316026442877769,1.3047272768292768,0.75,35.05555555555556,1.0
quant,"Quant q=131,072",0.75,54,0.9104120208869785,0.9140698071108317,1.1380253188945577,1.1615450036954833,0.7143069261695907,21.796296296296298,1.0
global_supported,Two-line supported,0.75,54,0.9104120208869785,0.9139938113964747,1.1377751803038119,1.1612995293282655,0.7141432139376219,21.796296296296298,1.0
lookup_supported,Lookup supported,0.75,54,0.9104120208869785,0.9132167209762957,1.144167084565731,1.153031848950371,0.707769858674464,24.925925925925927,1.0
exact_coverage,Exact global coverage,0.75,54,0.9104120208869785,0.9104190717516543,1.1271627620166307,1.1504805732294476,0.7073929398148148,21.51851851851852,1.0
paper,Paper greedy,0.875,54,0.9579423610407797,0.9579423610407797,1.5100956028362051,1.506309693570545,0.8745888157894736,36.75925925925926,1.0
quant,"Quant q=131,072",0.875,54,0.9579423610407797,0.9596607618943641,1.292864599926865,1.3203960512838453,0.8135850694444444,23.296296296296298,1.0
global_supported,Two-line supported,0.875,54,0.9579423610407797,0.9596607618943641,1.292864599926865,1.3203960512838453,0.8135850694444444,23.296296296296298,1.0
lookup_supported,Lookup supported,0.875,54,0.9579423610407797,0.9597182173231315,1.298352858602476,1.314744680923962,0.8117195114522417,26.24074074074074,1.0
exact_coverage,Exact global coverage,0.875,54,0.9579423610407797,0.957949144112328,1.285047462083955,1.3123232373800835,0.8086851242690059,22.962962962962962,1.0
