method,method_label,score_kind,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,14.49552387661404,0.0,12.924932797749838,0.10014984574870617,0,0.34283068795247457
cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,14.097130881415474,0.0014245014430747998,12.573583390977648,0.14985015425129372,0,0.366586571712709
cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,15.045779758029514,0.005952381011512544,13.76084762149387,0.19999060404664257,0,0.4079786592874208
cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,12.880446328057182,0.005214545668827155,11.54836474524604,0.25,0,0.44462214303002656
cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,13.133052931891548,0.005494505580928578,11.938399420844185,0.30000939595335735,0,0.4875260375555283
cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,11.34723949432373,0.006224280016289811,10.158026960160997,0.3501498457487061,0,0.5334157434288171
cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,12.266626199086508,0.009908453664845877,11.153278032938639,0.3998501542512938,0,0.5729350267967345
cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,13.041288905673557,0.007059450778696255,11.89489057328966,0.4499906040466426,0,0.6141021216981544
cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,10.001515176561144,0.0188514310866594,8.74906783633762,0.5,0,0.6475533464824517
cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,11.626702361636692,0.021337213977757386,10.665076149834526,0.5500093959533574,0,0.7034938655102859
cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,10.045233408610025,0.027442505583167045,9.017148070865208,0.6001498457487062,0,0.7638715951719542
cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,7.788967609405518,0.04818085260275336,6.8228477107154,0.6498501542512938,0,0.8092243470944557
cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,7.09538655810886,0.08672209197862275,6.111533959706624,0.6999906040466426,0,0.8508017515520081
cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,6.999083836873372,0.08179832684497035,6.133824004067315,0.75,0,0.872337757000713
cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,5.184104998906453,0.1432841490540239,4.1924962467617455,0.8000093959533573,0,0.9236625985962442
cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,4.255050341288249,0.2336867820057604,3.335059576564365,0.8501498457487061,0,0.980136545465553
cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,2.6712274187140994,0.3874833662476804,1.9655385149849787,0.8998501542512939,0,1.0217027438458293
cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,0.6121034158600701,0.6528096000353495,0.26309900813632536,0.9499906040466427,0,1.0534648472949402
cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,14.41427919599745,0.0026455026947789667,13.00866338941786,0.10014984574870617,0,0.3412838255690717
cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,12.915402200486923,0.002849002886149611,11.608889049953884,0.14985015425129372,0,0.3666556669515875
cell1_abs_twoline,Cell-1 |x| 2-line,abs,2,0.2,13.392966376410591,0.006257631505529078,12.20319906870524,0.19999060404664257,0,0.4059140612422767
cell1_abs_twoline,Cell-1 |x| 2-line,abs,3,0.25,11.490275065104166,0.0034912636296616554,10.221187273661295,0.25,0,0.44409905844145636
