method,method_label,score_kind,budget_index,budget_fraction,cases,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,selector_total_ms,read_wall_median_ms,io_median_ms,upload_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,chunks,row_match_rate,fallback_rate
cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,189,0.34283068795247457,0.3118323385261899,0.030998349426284624,0.0801001164021164,0.11109846582840102,0.19034183068783067,0.07685392063492062,0.0697231111111111,0.014942306862582246,0.026448084573660526,0.7822964651874764,0.3932228261831576,0.1389293785369585,0.10014984574870615,2.64021164021164,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,189,0.366586571712709,0.33558822228642426,0.030998349426284624,0.08151292857142856,0.1125112779977132,0.20645946296296294,0.07322533862433861,0.09352908465608464,0.015250116384652191,0.032365714367380484,0.7294601580453297,0.33071201440518494,0.19505257683771624,0.1498501542512938,3.6507936507936507,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,189,0.4079786592874208,0.3769803098611361,0.030998349426284624,0.08279171693121691,0.11379006635750155,0.24165034920634917,0.08082310846560846,0.12061111375661374,0.01571741806116522,0.03682082566240472,0.6860781591681261,0.2893353114052424,0.24994276992227663,0.19999060404664257,4.386243386243386,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,189,0.44462214303002656,0.4136237936037419,0.030998349426284624,0.08390700529100528,0.11490535471728992,0.2771313068783069,0.08687434920634919,0.14886475925925924,0.015955640165696963,0.0366298412687327,0.6392438435463836,0.24334486230971317,0.30642588129119264,0.25,5.211640211640212,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,189,0.4875260375555283,0.45652768812924366,0.030998349426284624,0.08510421693121692,0.11610256635750156,0.3098187301587302,0.09368821957671956,0.17412176455026454,0.015889269871410507,0.04571547116788601,0.5996123301801543,0.2124244236441516,0.3583714586717111,0.3000093959533574,5.804232804232805,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,189,0.5334157434288171,0.5024173940025325,0.030998349426284624,0.08484946825396823,0.11584781768025289,0.3494688783068783,0.10379797619047618,0.20351563756613755,0.01592296294414645,0.05217608449753941,0.5595392628853756,0.18358891792398277,0.41123544696777586,0.3501498457487061,6.1534391534391535,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,189,0.5729350267967345,0.5419366773704498,0.030998349426284624,0.08516825925925925,0.11616660868554389,0.38522031216931213,0.11304684920634919,0.22931277248677248,0.01585557669519427,0.05569252924668407,0.5297699109330852,0.16390349183763772,0.4594122210823039,0.3998501542512938,6.476190476190476,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,189,0.6141021216981544,0.5831037722718696,0.030998349426284624,0.08621156878306878,0.1172099182093534,0.4243153571428571,0.1255683148148148,0.25551235185185184,0.01535932275235017,0.05721752359359348,0.4922486434212674,0.14137471573693408,0.5087867294039045,0.4499906040466426,6.62962962962963,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,189,0.6475533464824517,0.616554997056167,0.030998349426284624,0.08778339153439153,0.11878174096067616,0.4588538068783069,0.1369193492063492,0.27794288624338626,0.01600965077954305,0.0539081478639254,0.453237976750763,0.12137115411657501,0.5595142002458926,0.5,6.888888888888889,1.0,0.0
cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,189,0.7034938655102859,0.6724955160840012,0.030998349426284624,0.08796605555555555,0.11896440498184017,0.504326455026455,0.14897403968253967,0.3093093174603174,0.015897396828722966,0.06430560867326754,0.4190087282300863,0.10420191256457532,0.6076120806749535,0.5500093959533574,6.883597883597884,1.0,0.0
