case_key,score_kind,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.0440320000052452
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.0233280006796121
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.0297919996082782
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.0235520005226135
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.0316159985959529
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.0264640003442764
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.0305599998682737
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.029696000739932
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.0235520005226135
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.0224639996886253
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.0235520005226135
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.0337920002639293
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.061439998447895
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.0307199992239475
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.0378880016505718
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.0328640006482601
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.0295039992779493
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.0297279991209507
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.029696000739932
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.02857599966228
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.0419839993119239
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.0380799993872642
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.0235520005226135
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.0215039998292922
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.0245760008692741
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.0233919993042945
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.0223999992012977
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.0266880001872777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.0256639998406171
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.0337920002639293
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.0276480000466108
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.0286720003932714
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.0275839995592832
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.0233600009232759
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.0225280001759529
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.0308159999549388
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.0227520000189542
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.0224639996886253
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.0246399994939565
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.0327679999172687
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.0289280004799366
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.0266239996999502
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.0286720003932714
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.0460800006985664
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.0287040006369352
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.0317439995706081
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.0317439995706081
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.029696000739932
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,0,0.0255360007286071
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,1,0.0225280001759529
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,2,0.0205119997262954
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,0,0.0215039998292922
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,1,0.0204799994826316
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,2,0.0202239993959665
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,0,0.0245760008692741
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,1,0.0244479998946189
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,2,0.0276480000466108
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,0,0.0348160006105899
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,1,0.0279040001332759
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,2,0.0255999993532896
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,0,0.0275839995592832
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,1,0.0258239991962909
