error_ceiling,score_kind,lookup_total_ms,twoline_total_ms,twoline_gain_pct,selector_delta_ms,read_wall_delta_ms,chunk_delta
0.5,abs,0.4819193074187733,0.482920748714824,-0.20780269240809926,0.0016043754309955915,-0.00011802024169060843,0.049269580468940255
0.5,x2,0.4826590980572158,0.48358022144057466,-0.1908434725599383,-9.093856137125378e-05,0.0008965608155078741,0.0005246168054053868
0.45,abs,0.5258023215852313,0.5245539366871669,0.23742475961321657,-0.0016270419394141256,0.0007795354124136566,-0.0004687968671150955
0.45,x2,0.5188819313108121,0.5244466813493347,-1.0724501476597634,0.0009087243115268734,0.0037124608898967404,-0.019314334270690736
0.42,abs,0.5583019079289356,0.5562074436261436,0.37514904983248404,-0.0005484286383588693,-0.001556517396485102,-0.011590283228990472
0.42,x2,0.558630805552993,0.5609172282242912,-0.40929047388191314,0.0017518956559952753,-2.150342330692334e-05,0.0015854969941031527
0.4,abs,0.5743639808035444,0.572429717629165,0.3367660993771645,0.0007872105374491789,-0.002773268366525916,-0.023807832006971452
0.4,x2,0.5727404940798967,0.5789177750963125,-1.0785479777083944,0.0016760809174432706,0.00444407426673904,0.005460478214208031
0.35,abs,0.6177158559609502,0.6208873460004743,-0.5134221517740343,0.0015624139436177936,0.0016294451438999547,0.0017196854128673777
0.35,x2,0.6134244423019907,0.6154286320254866,-0.3267215300347049,0.00031375314444551106,0.0017788727059735998,-0.03521193012960122
0.3,abs,0.6420566600444696,0.6472104417512675,-0.8026988936523086,0.00024209656654686218,0.0046803213493817886,-0.007354906971910324
0.3,x2,0.6515766255364437,0.6518407735127054,-0.0405398177143413,0.0010929575604092107,-0.0007989496227193138,0.0009229937641843655
0.25,abs,0.6967269315961016,0.6938026451445352,0.4197177285607824,-0.00016077940087955156,-0.0027027976909324014,5.738142598410434e-05
0.25,x2,0.6895651134997912,0.6899844696365698,-0.060814581330860394,0.00013670682832588044,0.0004203116633555992,-0.016262151076629205
0.2,abs,0.7118254865286652,0.7123960338749524,-0.0801526999362754,0.000543637777386835,0.000181000327480918,0.009380365802548862
0.2,x2,0.7081945126835024,0.7090827486784438,-0.12542260339968575,0.00042645357681868334,0.0005416765849510785,-0.008979192052009921
0.15,abs,0.7338882941237074,0.7355555564855036,-0.22718203507892734,0.0004620230359753674,0.0011615394140114255,0.014909395462956443
0.15,x2,0.731331643131508,0.7324491526906122,-0.15280475959156847,0.0009161284134201059,0.00021987985234228624,-0.005951049206736947
