error_ceiling,method,method_label,actual_total_ms,legacy_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selector_total_ms,io_median_ms,upload_median_ms,selected_fraction,chunks,row_match_rate
0.5,paper,Paper |x|,0.5979137862772942,0.5678241353828529,0.030089650894441253,0.23995713313091624,0.2758851692543815,0.015534970815335258,0.03644686218221969,0.27004678402535753,0.09341618879787646,0.14293769298470713,0.37400973285306616,7.9678126860049945,0.2857142857142857
0.5,cell1_abs_lookup,Cell-1 |x| lookup,0.4819193074187733,0.45182965652433205,0.030089650894441253,0.08153449884080206,0.30650045947099264,0.015141330367576714,0.048653367844960535,0.11162414973524333,0.10213445270595346,0.16510575889091705,0.44425618601513706,4.94539946698642,1.0
0.5,cell1_abs_twoline,Cell-1 |x| 2-line,0.482920748714824,0.45283109782038267,0.030089650894441253,0.08313887427179766,0.30638243922930203,0.015062938064644945,0.04824684625463793,0.11322852516623892,0.10343481843951105,0.16378163102251825,0.4431105238095187,4.9946690474553606,1.0
0.5,cell1_x2_lookup,Cell-1 X² lookup,0.4826590980572158,0.45096792360565835,0.03169117445155737,0.0807191363530927,0.3068234721184334,0.015078140030986597,0.04834717510314555,0.1124103108046501,0.1033412021929375,0.16459466975678444,0.44297293473200716,4.655121479803309,1.0
0.5,cell1_x2_twoline,Cell-1 X² 2-line,0.48358022144057466,0.4518890469890172,0.03169117445155737,0.08062819779172145,0.3077200329339413,0.015317587041904826,0.04822322922144951,0.11231937224327886,0.10375508158453403,0.1641931528779404,0.4421435985817914,4.655646096608715,1.0
0.45,paper,Paper |x|,0.637917946511244,0.6078282956168027,0.030089650894441253,0.2396506954859065,0.3095107021711102,0.015652717438460317,0.043014180521325523,0.2697403463803478,0.10166670923925618,0.16881388245123477,0.45180815666742835,9.39986967856035,0.37703859999113626
0.45,cell1_abs_lookup,Cell-1 |x| lookup,0.5258023215852313,0.49571267069079,0.030089650894441253,0.08238918958643769,0.350011508666283,0.01544906860682699,0.047862903831242226,0.11247884048087896,0.11464280037887095,0.19628810669343327,0.5266260623488155,5.143827092006608,1.0
0.45,cell1_abs_twoline,Cell-1 |x| 2-line,0.5245539366871669,0.4944642857927255,0.030089650894441253,0.08076214764702357,0.35079104407869666,0.015384734542922952,0.04752635952408221,0.11085179854146483,0.11417977366425064,0.19710127136486744,0.5258849686876899,5.1433582951394925,1.0
0.45,cell1_x2_lookup,Cell-1 X² lookup,0.5188819313108121,0.4871907568592547,0.03169117445155737,0.07966789273366581,0.3466028762277612,0.015396513018477036,0.04552347487935051,0.1113590671852232,0.11460457985505663,0.19289208527876703,0.5196525464274409,4.924076239032596,1.0
0.45,cell1_x2_twoline,Cell-1 X² 2-line,0.5244466813493347,0.49275550689777725,0.03169117445155737,0.08057661704519269,0.35031533711765794,0.015492908476786436,0.0463706442581401,0.11226779149675008,0.11748260899443289,0.19338814685232314,0.5218739719291887,4.904761904761905,1.0
0.42,paper,Paper |x|,0.6693020906832894,0.6392124397888481,0.030089650894441253,0.23866424865374583,0.3412896406250745,0.01573055604621923,0.04352799446380842,0.2687538995481871,0.10948954694190229,0.1901689506846957,0.5139531587630568,10.229073454594563,0.6816823387300002
