case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.283839
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.250678
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,0,0.074599
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,1,0.072505
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,0,0.071113
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,1,0.064481
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,0,0.069239
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,1,0.062166
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,0,0.066003
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,1,0.062947
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.236221
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.229999
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,0,0.069911
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,1,0.063138
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,0,0.067446
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,1,0.095879
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,0,0.072435
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,1,0.066885
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,0,0.076082
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,1,0.070071
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.260355
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.308185
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,0,0.086321
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,1,0.078116
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,0,0.085399
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,1,0.078165
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,0,0.084869
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,1,0.076944
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,2,0,0.085149
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,2,1,0.084548
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.285492
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.264434
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,3,0,0.083085
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,3,1,0.093484
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,3,0,0.084718
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,3,1,0.076443
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,3,0,0.087634
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,3,1,0.07502
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,3,0,0.082394
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,3,1,0.076693
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.257962
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.25196
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,4,0,0.083797
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,4,1,0.077434
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,4,0,0.082464
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,4,1,0.078717
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,4,0,0.07506
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,4,1,0.068608
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,4,0,0.078927
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,4,1,0.07499
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.258101
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.264954
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,5,0,0.084758
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,5,1,0.078216
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,5,0,0.084237
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,5,1,0.077725
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,5,0,0.081683
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,5,1,0.075912
