score_kind,case_key,budget_index,budget_fraction,same_mask,error_delta,actual_total_delta_ms,selector_delta_ms,read_wall_delta_ms,chunk_delta
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,0,0.1,True,0.0,0.0005859999999999754,0.0005859999999998922,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,1,0.15,False,0.0023374557495117188,-0.011814999859333097,0.005405000000000007,-0.016259999999999997,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,2,0.2,True,0.0,-0.0005109999999999837,-0.0005109999999999004,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,3,0.25,False,0.07460671663284302,-0.01842150034666057,-0.0025149999999998923,-0.01488250000000002,1
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,4,0.3,True,0.0,-0.0013475000000001125,-0.0013475000000000015,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,5,0.35,True,0.0,0.0008714999999999695,0.0008714999999999973,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,6,0.4,True,0.0,-0.0020739999999999648,-0.0020739999999999925,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,7,0.45,True,0.0,-0.0003655000000000186,-0.00036550000000010185,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,8,0.5,False,-0.0010834038257598877,-0.0013894995993375958,-0.0029555,0.0017580000000000096,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,9,0.55,True,0.0,-0.002113500000000046,-0.0021135000000000043,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,10,0.6,True,0.0,0.0026094999999999313,0.0026095000000000007,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,11,0.65,True,0.0,-0.0074385000000000145,-0.007438500000000001,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,12,0.7,True,0.0,-0.006186499999999984,-0.0061864999999999976,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,13,0.75,True,0.0,-0.0015029999999999766,-0.0015029999999998933,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,14,0.8,True,0.0,-0.006241500000000011,-0.006241499999999997,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,15,0.85,True,0.0,-0.006232000000000015,-0.006232000000000001,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,16,0.9,True,0.0,-0.002394499999999966,-0.002394499999999994,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.q_proj,17,0.95,True,0.0,0.008220000000000005,0.008219999999999991,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,0,0.1,True,0.0,-0.0007670000000000177,-0.0007670000000000871,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,1,0.15,True,0.0,-0.0006165000000000198,-0.0006165000000000059,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,2,0.2,True,0.0,-0.00016000000000002124,-0.00015999999999999348,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,3,0.25,True,0.0,-1.0500000000024379e-05,-1.0500000000010501e-05,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,4,0.3,True,0.0,0.004518499999999981,0.004518499999999995,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,5,0.35,True,0.0,0.0012614999999999987,0.0012614999999999987,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,6,0.4,True,0.0,-0.002444999999999975,-0.0024450000000000027,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,7,0.45,True,0.0,-0.0012474999999999847,-0.0012474999999999015,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,8,0.5,True,0.0,0.00022999999999989695,0.0002299999999999941,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,9,0.55,True,0.0,0.002509499999999998,0.0025095000000000117,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,10,0.6,True,0.0,0.0002955000000000041,0.00029549999999989307,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,11,0.65,True,0.0,-0.005534999999999901,-0.005534999999999998,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,12,0.7,True,0.0,-5.9499999999990116e-05,-5.9499999999990116e-05,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,13,0.75,True,0.0,0.0013174999999999715,0.0013174999999999992,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,14,0.8,True,0.0,0.0015935000000000255,0.0015934999999999977,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,15,0.85,True,0.0,0.000130000000000019,0.0001300000000000051,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,16,0.9,True,0.0,0.004658999999999969,0.0046589999999999965,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.k_proj,17,0.95,True,0.0,-0.007278500000000021,-0.007278500000000007,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.v_proj,0,0.1,True,0.0,-0.0031300000000000217,-0.0031299999999998968,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.v_proj,1,0.15,True,0.0,0.0048890000000000045,0.0048890000000000045,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.v_proj,2,0.2,True,0.0,0.005684999999999996,0.0056850000000000095,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.v_proj,3,0.25,True,0.0,-0.006276999999999977,-0.006277000000000102,0.0,0
abs,smol360|test_short_korean|model.layers.0.self_attn.v_proj,4,0.3,True,0.0,-0.0029305000000000025,-0.0029305000000000025,0.0,0
