case_key,score_kind,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.040192000567913055
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.025599999353289604
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.02175999991595745
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.02969600073993206
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.03478400036692619
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.024288000538945198
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.03174399957060814
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.025599999353289604
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.03488000109791756
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.02969600073993206
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.029664000496268272
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.027648000046610832
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.02755199931561947
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.03379200026392937
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.03276799991726875
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.03276799991726875
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.04403200000524521
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.03174399957060814
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.027456000447273254
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.02876799926161766
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.027648000046610832
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03379200026392937
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03296000137925148
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.03276799991726875
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.03174399957060814
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.027648000046610832
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.02969600073993206
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.025599999353289604
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.02457600086927414
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.06451199948787689
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.03497600182890892
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.03379200026392937
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.027648000046610832
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.02457600086927414
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.023455999791622162
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.022495999932289124
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.027871999889612198
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.02783999964594841
smol360|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.026655999943614006
smol360|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.029759999364614487
smol360|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.025599999353289604
smol360|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.023552000522613525
smol360|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.025567999109625816
smol360|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.02252800017595291
smol360|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.02348800003528595
smol360|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.028672000393271446
smol360|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.027648000046610832
smol360|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.02755199931561947
smol360|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.04118400067090988
smol360|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.035679999738931656
smol360|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.034591998904943466
smol360|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.03481600061058998
smol360|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.03174399957060814
smol360|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.030719999223947525
smol360|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.05119999870657921
smol360|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.03788800165057182
smol360|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.03680000081658363
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,abs,0,0.026815999299287796
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,abs,1,0.023552000522613525
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,abs,2,0.02252800017595291
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,x2,0,0.02457600086927414
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,x2,1,0.030719999223947525
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,x2,2,0.021503999829292297
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,weighted,0,0.027648000046610832
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,weighted,1,0.026528000831604004
smol360|cal_short_factual|model.layers.16.self_attn.q_proj,weighted,2,0.02672000043094158
smol360|cal_short_factual|model.layers.16.self_attn.k_proj,abs,0,0.03481600061058998
