case_key,method,budget_index,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.283619
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.255406
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,0,0.080249
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,1,0.066684
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,0,0.072475
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,1,0.06977
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,0,0.068377
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,1,0.061554
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,0,0.064691
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,1,0.064871
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.244917
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.235279
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,0,0.084478
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,1,0.073667
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,0,0.078617
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,1,0.072144
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,0,0.076713
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,1,0.071995
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,0,0.081452
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,1,0.074219
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.272388
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.302604
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,0,0.077324
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,1,0.070803
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,0,0.077534
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,1,0.072395
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,0,0.074569
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,1,0.068709
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,2,0,0.077244
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,2,1,0.071513
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.254305
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.235078
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,3,0,0.077996
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,3,1,0.071684
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,3,0,0.07547
