method,method_label,score_kind,budget_index,budget_fraction,dense_to_sparse_kl_mean,top1_agreement_mean,nll_delta_mean,selected_fraction_mean,fallback_calls,actual_total_ms
cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,10.481675465901693,0.0,9.482849756876627,0.1000786323051948,0,0.4343855161400333
cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,10.479318300882975,0.0,9.499081293741861,0.1499213676948051,0,0.4845699290173631
cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,10.30252997080485,0.0,9.307717323303223,0.2001572646103896,0,0.5587918894048343
cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,10.061598141988119,0.0,9.224467277526855,0.25,0,0.6380096433651248
cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,9.320094426472982,0.0,8.460065841674805,0.2998427353896103,0,0.7161063341334784
cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,9.771461168924967,0.0,8.849813461303711,0.3500786323051948,0,0.8259558327474661
cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,8.837814490000406,0.004694835593303033,8.079234759012857,0.3999213676948051,0,0.9025360476654778
cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,8.956632932027182,0.004694835593303033,7.975414276123047,0.4501572646103897,0,0.9747252461991907
cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,7.941281636555989,0.026421611507733634,6.952800432840983,0.5,0,1.0495581983026587
cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,8.072094599405924,0.0401012926983336,7.177479108174642,0.5498427353896103,0,1.1571100799145178
cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,7.164793968200684,0.04382568721969917,6.382132212320964,0.6000786323051948,0,1.2995657530835092
cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,5.96458101272583,0.09302320082982378,5.1823562781016035,0.6499213676948052,0,1.3885316989566647
cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,4.673335075378418,0.17108800510565436,3.9171144167582193,0.7001572646103899,0,1.4717001350814891
cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,5.2395890553792315,0.16600962604085603,4.50740917523702,0.75,0,1.5072695091897346
cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,3.3778536319732666,0.2576115777095158,2.666569550832113,0.7998427353896101,0,1.6095491915603308
cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,1.4920517603556316,0.4790575901667277,1.0292906363805134,0.8500786323051948,0,1.7360170490162883
cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,0.7295955121517181,0.6275810400644938,0.42226119836171466,0.8999213676948052,0,1.833695286353556
cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,0.3359118501345317,0.7492963075637817,0.1690263748168945,0.9501572646103896,0,1.8864961199802075
cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,10.442682584126791,0.0,9.48418935139974,0.1000786323051948,0,0.43134778608817426
