case_key,score_kind,repetition,runtime_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.04505600035190582
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.029503999277949333
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.022816000506281853
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.02147199958562851
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.022463999688625336
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.024383999407291412
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.03167999908328056
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.02537599951028824
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03171199932694435
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.032607998698949814
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.021503999829292297
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.02348800003528595
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.02163200080394745
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.033663999289274216
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.0289280004799366
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.02252800017595291
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.021376000717282295
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.03686400130391121
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.026464000344276428
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.029472000896930695
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.02239999920129776
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.023679999634623528
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.02380800060927868
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.02579200081527233
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.035840000957250595
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.0398080013692379
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.06435199826955795
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.028672000393271446
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.02579200081527233
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.026559999212622643
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.03379200026392937
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.025599999353289604
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,0,0.0727040022611618
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,1,0.03276799991726875
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,2,0.027648000046610832
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,0,0.026623999699950218
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,1,0.03376000002026558
