case_key,method,budget_index,repetition,runtime_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.407
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.388184
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,0,0.122047
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,0,1,0.089327
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,0,0.106449
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,0,1,0.097662
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,0,0.113412
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,0,1,0.081342
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,0,0.08554
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,0,1,0.078436
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.446723
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.450661
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,0,0.087273
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,1,1,0.080209
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,0,0.085529
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,1,1,0.08029
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,0,0.098624
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,1,1,0.11813
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,0,0.09628
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,1,1,0.091751
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.588247
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.47216
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,0,0.087544
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_lookup,2,1,0.080931
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,0,0.089167
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs_twoline,2,1,0.083115
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,0,0.086752
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_lookup,2,1,0.082484
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2_twoline,2,0,0.087954
