model,prompt,paper_budget_index,paper_budget_fraction,method,method_label,objective,feasible,target_mean_importance_loss,target_mean_error,cases,total_time_ms,mean_time_ms,total_loss,mean_loss,mean_error,mean_selected_fraction
qwen05,test_long_structured,0,0.1,paper,Paper |x|,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,10.076458501631022,0.47983135722052483,16.316834785044193,0.7769921326211521,0.6448969972275552,0.17287359022556384
qwen05,test_long_structured,0,0.1,paper,Paper |x|,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,10.076458501631022,0.47983135722052483,13.54283694177866,0.6448969972275552,0.6448969972275552,0.17287359022556384
qwen05,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,6.686068990477621,0.31838423764179147,17.74150873720646,0.8448337493907838,0.7007708990325531,0.13098314983888285
qwen05,test_long_structured,0,0.1,cell1_x2,Cell-1 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,6.6924424919936065,0.3186877377139813,14.36706075258553,0.6841457501231205,0.6841457501231205,0.15479267364840665
qwen05,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,7.382114989794315,0.3515292852283007,17.44514685124159,0.8307212786305518,0.679987424008903,0.1358726056211958
qwen05,test_long_structured,0,0.1,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,7.382114989794315,0.3515292852283007,14.279735904186964,0.679987424008903,0.679987424008903,0.1358726056211958
qwen05,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8621618385825839,0.6898322002518744,21.0,7.510246987249015,0.3576308089166198,17.35670466721058,0.8265097460576466,0.67009371714223,0.1358726056211958
qwen05,test_long_structured,0,0.1,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8621618385825839,0.6898322002518744,21.0,7.510246987249015,0.3576308089166198,14.07196805998683,0.67009371714223,0.67009371714223,0.1358726056211958
qwen05,test_long_structured,1,0.15,paper,Paper |x|,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,10.076458501631022,0.47983135722052483,16.316834785044193,0.7769921326211521,0.6448969972275552,0.17287359022556384
qwen05,test_long_structured,1,0.15,paper,Paper |x|,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,10.076458501631022,0.47983135722052483,13.54283694177866,0.6448969972275552,0.6448969972275552,0.17287359022556384
qwen05,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,6.710334491755606,0.3195397377026479,16.466308921575546,0.7841099486464546,0.6618069020942563,0.1928985409953454
qwen05,test_long_structured,1,0.15,cell1_x2,Cell-1 X²,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,6.740587991869927,0.32098038056523465,13.179867567494512,0.6276127413092625,0.6276127413092625,0.22382966344432503
qwen05,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,7.400707988597334,0.3524146661236826,16.55388220399618,0.7882801049521991,0.6508322029951072,0.17870848997493727
qwen05,test_long_structured,1,0.15,shifted8_x2,Shifted-8 X²,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,7.43845298753667,0.3542120470255557,12.861412536352873,0.6124482160168034,0.6124482160168034,0.20963961242391688
qwen05,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.8020259652818952,0.6488304290743101,21.0,7.525074986426352,0.3583369041155406,16.75804142653942,0.7980019726923534,0.6546103306824252,0.1644121464375223
qwen05,test_long_structured,1,0.15,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.8020259652818952,0.6488304290743101,21.0,7.539893985333023,0.35904257073014395,13.36425031349063,0.6363928720709824,0.6363928720709824,0.18343850698174
qwen05,test_long_structured,2,0.2,paper,Paper |x|,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,10.084755501858353,0.4802264524694454,15.590051464736462,0.7423834030826887,0.6092837988620713,0.20858787593984957
qwen05,test_long_structured,2,0.2,paper,Paper |x|,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,10.084755501858353,0.4802264524694454,12.794959776103497,0.6092837988620713,0.6092837988620713,0.20858787593984957
qwen05,test_long_structured,2,0.2,cell1_x2,Cell-1 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,6.75567649005127,0.32169888047863193,15.32662981748581,0.7298395151183719,0.6258179236735616,0.24769233351235231
qwen05,test_long_structured,2,0.2,cell1_x2,Cell-1 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,6.767576492141248,0.3222655472448213,12.665262432768941,0.6031077348937591,0.6031077348937591,0.25242235051915496
qwen05,test_long_structured,2,0.2,shifted8_x2,Shifted-8 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,7.444224986427009,0.3544869041155718,15.590222671627998,0.7423915557918095,0.62706435986218,0.22632753759398497
qwen05,test_long_structured,2,0.2,shifted8_x2,Shifted-8 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,7.43845298753667,0.3542120470255557,12.861412536352873,0.6124482160168034,0.6124482160168034,0.20963961242391688
qwen05,test_long_structured,2,0.2,adaptive8_x2,Adaptive-8 X²,importance_bound,True,0.7473068017335165,0.6135337597557476,21.0,7.57206798587501,0.3605746659940481,15.585222639143467,0.7421534590068317,0.6174586143876825,0.22149122807017535
qwen05,test_long_structured,2,0.2,adaptive8_x2,Adaptive-8 X²,error_oracle,True,0.7473068017335165,0.6135337597557476,21.0,7.568285985988675,0.3603945707613655,12.766212414950132,0.6079148769023872,0.6079148769023872,0.20724803079126378
qwen05,test_long_structured,3,0.25,paper,Paper |x|,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,10.113445502703668,0.48159264298588894,14.373487211763859,0.6844517719887552,0.582687690499283,0.26619842015753664
qwen05,test_long_structured,3,0.25,paper,Paper |x|,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,10.131840501430691,0.4824685953062234,11.591258831322193,0.5519647062534377,0.5519647062534377,0.280016447368421
qwen05,test_long_structured,3,0.25,cell1_x2,Cell-1 X²,importance_bound,True,0.6873975041366759,0.5731495357162896,21.0,6.8207084894835965,0.3247956423563617,14.063537940382957,0.669692282875379,0.6041840475407385,0.3072161430361618
qwen05,test_long_structured,3,0.25,cell1_x2,Cell-1 X²,error_oracle,True,0.6873975041366759,0.5731495357162896,21.0,6.809095990696252,0.32424266622363107,11.892100112512708,0.5662904815482241,0.5662904815482241,0.27862345596133187
