error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.5,paper,Paper |x|,0.6263636195795873,0.03138692085705102,0.2594603617197993,0.2807947666212281,0.01666640944548528,0.03805516093602354,0.37400973285306616,7.9678126860049945
0.5,cell1_x2,Cell-1 X²,0.5066443390536416,0.032786793622469106,0.09714758412277831,0.311252647900093,0.01590384232229848,0.04955347108600259,0.44297293473200716,4.655121479803309
0.5,shifted8_x2,Shifted-8 X²,0.5339684441701705,0.032786793622469106,0.14278085169846624,0.299061157090755,0.015982768829586696,0.04335687292889329,0.41826870705537605,4.90249322576648
0.5,adaptive8_x2,Adaptive-8 X²,0.5402960080641758,0.032786793622469106,0.15335215160259646,0.29712337327405913,0.016195542053265743,0.04083814751178508,0.4078706473144911,6.5707300774743285
0.45,paper,Paper |x|,0.6711266043063516,0.03138692085705102,0.2584827529608749,0.3195028755994893,0.016808259069333763,0.044945795819602494,0.45180815666742835,9.39986967856035
0.45,cell1_x2,Cell-1 X²,0.5447087414657801,0.032786793622469106,0.0979996774690357,0.35084075297831396,0.01632910084389279,0.04675241655206834,0.5196525464274409,4.924076239032596
0.45,shifted8_x2,Shifted-8 X²,0.5760280526853971,0.032786793622469106,0.146338934889354,0.3391236364933402,0.016453721662362704,0.0413249660178709,0.5029845606912324,4.9775191358710265
0.45,adaptive8_x2,Adaptive-8 X²,0.5835033765349585,0.032786793622469106,0.152865856734703,0.3399619147384351,0.01637720107788076,0.04151161036147052,0.49526429460263616,6.967650711508902
0.42,paper,Paper |x|,0.7057975443995774,0.03138692085705102,0.25850930191577204,0.35461335110974446,0.01631230302289346,0.044975667494116384,0.5139531587630568,10.229073454594563
0.42,cell1_x2,Cell-1 X²,0.5810694521249197,0.032786793622469106,0.09724156543337946,0.3818913846833731,0.016140874400705215,0.05300883398499275,0.5714064654375852,4.871202231680659
0.42,shifted8_x2,Shifted-8 X²,0.6187595151839738,0.032786793622469106,0.1447970198903317,0.3703211778720161,0.016150669762920327,0.05470385403623647,0.5613704345775745,4.8411768737028575
