case_key,score_kind,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.062463998794555664
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.02672000043094158
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.03891199827194214
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.02457600086927414
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.03593600168824196
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.03174399957060814
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.03686400130391121
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.03481600061058998
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.02332800067961216
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.031936001032590866
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.03788800165057182
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.03686400130391121
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.036031998693943024
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.028704000636935234
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.028672000393271446
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03686400130391121
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03497600182890892
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.03481600061058998
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.03481600061058998
