model,error_ceiling,method,method_label,actual_total_ms,gain_vs_cell1_pct
qwen05,0.5,paper,Paper |x|,0.6263636195795873,-23.629846678948145
qwen05,0.5,cell1_x2,Cell-1 X²,0.5066443390536416,0.0
qwen05,0.5,shifted8_x2,Shifted-8 X²,0.5339684441701705,-5.39315314715003
qwen05,0.5,adaptive8_x2,Adaptive-8 X²,0.5402960080641758,-6.642069478836369
qwen05,0.45,paper,Paper |x|,0.6711266043063516,-23.20834112197067
qwen05,0.45,cell1_x2,Cell-1 X²,0.5447087414657801,0.0
qwen05,0.45,shifted8_x2,Shifted-8 X²,0.5760280526853971,-5.74973537882623
qwen05,0.45,adaptive8_x2,Adaptive-8 X²,0.5835033765349585,-7.122087845475789
qwen05,0.42,paper,Paper |x|,0.7057975443995774,-21.46526406069673
qwen05,0.42,cell1_x2,Cell-1 X²,0.5810694521249197,0.0
qwen05,0.42,shifted8_x2,Shifted-8 X²,0.6187595151839738,-6.486326706940945
qwen05,0.42,adaptive8_x2,Adaptive-8 X²,0.6296254316778982,-8.356312550145873
qwen05,0.4,paper,Paper |x|,0.7257211755120039,-21.68500830941439
qwen05,0.4,cell1_x2,Cell-1 X²,0.596393249747477,0.0
qwen05,0.4,shifted8_x2,Shifted-8 X²,0.6302474006363051,-5.676481231664271
qwen05,0.4,adaptive8_x2,Adaptive-8 X²,0.6421965044962475,-7.680042449870859
qwen05,0.35,paper,Paper |x|,0.7785125448876837,-20.751414046659765
qwen05,0.35,cell1_x2,Cell-1 X²,0.6447233359825147,0.0
qwen05,0.35,shifted8_x2,Shifted-8 X²,0.688588169447897,-6.803667715631114
qwen05,0.35,adaptive8_x2,Adaptive-8 X²,0.6927060333807273,-7.442370195130321
qwen05,0.3,paper,Paper |x|,0.8325170376952647,-22.48827828449086
qwen05,0.3,cell1_x2,Cell-1 X²,0.6796707810372381,0.0
qwen05,0.3,shifted8_x2,Shifted-8 X²,0.7361665765887389,-8.312229556975089
qwen05,0.3,adaptive8_x2,Adaptive-8 X²,0.7441437583242442,-9.485912751555183
qwen05,0.25,paper,Paper |x|,0.8937007996401883,-22.649391672850584
qwen05,0.25,cell1_x2,Cell-1 X²,0.7286630511988231,0.0
qwen05,0.25,shifted8_x2,Shifted-8 X²,0.7769652383190694,-6.628878332828559
qwen05,0.25,adaptive8_x2,Adaptive-8 X²,0.7917326951134918,-8.655529302728352
qwen05,0.2,paper,Paper |x|,0.9468698357963975,-27.078663899627735
qwen05,0.2,cell1_x2,Cell-1 X²,0.7451052810440913,0.0
qwen05,0.2,shifted8_x2,Shifted-8 X²,0.8083120896861504,-8.482936606420166
qwen05,0.2,adaptive8_x2,Adaptive-8 X²,0.8187930992412051,-9.88958474349524
qwen05,0.15,paper,Paper |x|,0.9686136650208396,-24.54844291247318
qwen05,0.15,cell1_x2,Cell-1 X²,0.7777003408236391,0.0
qwen05,0.15,shifted8_x2,Shifted-8 X²,0.8397553247318276,-7.979292363748723
qwen05,0.15,adaptive8_x2,Adaptive-8 X²,0.850149903115478,-9.315871228127493
smol360,0.5,paper,Paper |x|,0.6312595641751119,-56.215359339121825
smol360,0.5,cell1_x2,Cell-1 X²,0.40409570918358617,0.0
smol360,0.5,shifted8_x2,Shifted-8 X²,0.41617732985049477,-2.989791871662699
smol360,0.5,adaptive8_x2,Adaptive-8 X²,0.42217132348574177,-4.4731022605200685
smol360,0.45,paper,Paper |x|,0.6519560935537646,-57.580049217693784
smol360,0.45,cell1_x2,Cell-1 X²,0.4137300989499628,0.0
smol360,0.45,shifted8_x2,Shifted-8 X²,0.45309248746929426,-9.514025839365384
smol360,0.45,adaptive8_x2,Adaptive-8 X²,0.45383407701924033,-9.693270605899947
smol360,0.42,paper,Paper |x|,0.6735151020233119,-57.06443564101539
smol360,0.42,cell1_x2,Cell-1 X²,0.42881451760517575,0.0
smol360,0.42,shifted8_x2,Shifted-8 X²,0.4795170708728946,-11.823889160954764
smol360,0.42,adaptive8_x2,Adaptive-8 X²,0.4789126222858334,-11.68293110980555
smol360,0.4,paper,Paper |x|,0.6855331945589223,-56.05817453140719
smol360,0.4,cell1_x2,Cell-1 X²,0.4392805417706309,0.0
smol360,0.4,shifted8_x2,Shifted-8 X²,0.5026562149260353,-14.427152384203671
smol360,0.4,adaptive8_x2,Adaptive-8 X²,0.50030715494686,-13.892400726480142
smol360,0.35,paper,Paper |x|,0.7335425027017682,-57.02296381980971
smol360,0.35,cell1_x2,Cell-1 X²,0.46715619477386655,0.0
smol360,0.35,shifted8_x2,Shifted-8 X²,0.5160753476944677,-10.471690939318737
smol360,0.35,adaptive8_x2,Adaptive-8 X²,0.5202634508052124,-11.368201176707753
smol360,0.3,paper,Paper |x|,0.7612670207388944,-55.01508092952342
smol360,0.3,cell1_x2,Cell-1 X²,0.49109223191322876,0.0
smol360,0.3,shifted8_x2,Shifted-8 X²,0.5450206570376279,-10.981323185321285
smol360,0.3,adaptive8_x2,Adaptive-8 X²,0.548662898690952,-11.722984611960914
