error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.5,paper,Paper |x|,0.6312595641751119,0.032414984401492805,0.3202956347173318,0.22798954435305085,0.017010252431600054,0.03354914827163628,0.3526174088685056,5.47103399485466
0.5,cell1_x2,Cell-1 X²,0.40409570918358617,0.030865269757452417,0.09325841891510833,0.22905875139122756,0.016744424637627434,0.03416884448217023,0.41615688481716767,3.0420043713124874
0.5,shifted8_x2,Shifted-8 X²,0.41617732985049477,0.030865269757452417,0.11270184010084253,0.2219773056627417,0.016744520892697436,0.03388839343676053,0.40462655451477714,3.0508397487911436
0.5,adaptive8_x2,Adaptive-8 X²,0.42217132348574177,0.030865269757452417,0.12294137062618293,0.21756036740600831,0.017117598945650507,0.03368671675044741,0.37312574462492426,4.635122120674291
0.45,paper,Paper |x|,0.6519560935537646,0.032414984401492805,0.3208308990538015,0.24701164408590628,0.017036256572638474,0.03466230943992526,0.43262048448479257,6.263052233188501
0.45,cell1_x2,Cell-1 X²,0.4137300989499628,0.030865269757452417,0.0945599686462346,0.2371587329349394,0.016145961939228657,0.035000165672107585,0.47604360286801456,3.146170167834967
0.45,shifted8_x2,Shifted-8 X²,0.45309248746929426,0.030865269757452417,0.12485928363975309,0.24582988629130284,0.016507153414502054,0.03503089436628371,0.4720620364650905,3.3221410912955824
0.45,adaptive8_x2,Adaptive-8 X²,0.45383407701924033,0.030865269757452417,0.13229681462604215,0.24048237055427035,0.016229095176596257,0.03396052690487901,0.4475104490014104,5.002437343817135
0.42,paper,Paper |x|,0.6735151020233119,0.032414984401492805,0.3258411114515726,0.26276584616214055,0.016746080540696897,0.035747079467408946,0.484657302735808,6.8356572067380625
0.42,cell1_x2,Cell-1 X²,0.42881451760517575,0.030865269757452417,0.0950431085459052,0.2500440748725351,0.016390004255965932,0.03647206017331697,0.5254758817190675,3.230309803720339
0.42,shifted8_x2,Shifted-8 X²,0.4795170708728946,0.030865269757452417,0.12605947427345446,0.2694979105057892,0.016487255409552638,0.036607160926645683,0.520890582813697,3.4086756354155265
0.42,adaptive8_x2,Adaptive-8 X²,0.4789126222858334,0.030865269757452417,0.13544383113744948,0.26013495387054447,0.016492052358087123,0.03597651516229969,0.5045088115908033,4.881732045093964
0.4,paper,Paper |x|,0.6855331945589223,0.032414984401492805,0.32805321177907154,0.2718609880285476,0.01672311265809551,0.03648089769171473,0.5138032181384143,7.195533950373012
0.4,cell1_x2,Cell-1 X²,0.4392805417706309,0.030865269757452417,0.09615178689691924,0.25826172487498356,0.016661435667859787,0.037340324573415816,0.5573475964194972,3.2450929489709495
0.4,shifted8_x2,Shifted-8 X²,0.5026562149260353,0.030865269757452417,0.12821985679135206,0.29031008040111644,0.016174175559563242,0.03708683241655091,0.550098763708316,3.3811091487433584
0.4,adaptive8_x2,Adaptive-8 X²,0.50030715494686,0.030865269757452417,0.1369669958981866,0.2791402846175196,0.016451628658235653,0.03688297601546556,0.5363424700058901,4.831202428562079
0.35,paper,Paper |x|,0.7335425027017682,0.032414984401492805,0.33973691604306794,0.30574103198624397,0.017098973698697194,0.03855059657226626,0.5928052844799887,7.788967479466634
0.35,cell1_x2,Cell-1 X²,0.46715619477386655,0.030865269757452417,0.097129779352271,0.2828474441141518,0.016671762543970937,0.039641939006020206,0.6268636262007483,3.2345454739033364
0.35,shifted8_x2,Shifted-8 X²,0.5160753476944677,0.030865269757452417,0.12772066663303058,0.3014524329965145,0.016530388680304257,0.039506589627165946,0.6285649129201163,3.3787034234028424
