case_key,score_kind,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.07372800260782242
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.043007999658584595
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.04710400104522705
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.04403200000524521
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.03481600061058998
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.03379200026392937
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.048128001391887665
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.04095999896526337
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.04095999896526337
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.035840000957250595
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.029664000496268272
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.028831999748945236
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.030719999223947525
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.03372799977660179
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.03254399821162224
smol360|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.03171199932694435
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.035840000957250595
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.030719999223947525
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.026815999299287796
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.028511999174952507
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.027712000533938408
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03174399957060814
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03174399957060814
smol360|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.030751999467611313
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.026528000831604004
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.02175999991595745
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.020479999482631683
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.02252800017595291
smol360|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.02147199958562851
