case_key,method,budget_index,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.273702
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.282137
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,2,0.233266
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,0,0.093364
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,1,0.081632
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,2,0.080992
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,0,0.092964
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,1,0.083396
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,2,0.081332
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,0,0.104375
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,1,0.091071
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,2,0.085641
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.246611
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.236673
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,2,0.226864
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,0,0.098835
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,1,0.095208
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,2,0.093976
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,0,0.124814
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,1,0.136215
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,2,0.157094
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,0,0.135222
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,1,0.128831
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,2,0.144129
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.241552
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.242654
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,2,0.231563
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,0,0.100558
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,1,0.095408
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,2,0.090359
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,0,0.141024
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,1,0.132007
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,2,0.142086
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,0,0.173424
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,1,0.160901
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,2,0.137938
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.276958
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.244788
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,2,0.296976
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,0,0.094557
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,1,0.088286
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,2,0.082845
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,0,0.172612
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,1,0.247984
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,2,0.173224
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,0,0.148468
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,1,0.164899
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,2,0.13937
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.263112
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.252041
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,2,0.248945
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,0,0.129072
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,1,0.109134
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,2,0.109645
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,0,0.184645
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,1,0.177171
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,2,0.179376
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,0,0.178564
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,1,0.131235
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,2,0.163686
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.260528
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.240179
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,2,0.245068
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,0,0.107802
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,1,0.087433
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,2,0.084067
