case_key,score_kind,repetition,runtime_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.09830400347709656
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.05222399905323982
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.04915200173854828
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.06451199948787689
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.04608000069856644
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.036959998309612274
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.0647680014371872
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.055456001311540604
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.05939200147986412
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.050175998359918594
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.06361600011587143
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.03788800165057182
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.03379200026392937
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.035840000957250595
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.04931199923157692
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.047968000173568726
tiny11|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.03276799991726875
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.03488000109791756
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.030719999223947525
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.029503999277949333
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.026655999943614006
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.07475200295448303
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.07478400319814682
tiny11|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.06137600168585777
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.03686400130391121
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.023711999878287315
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.02457600086927414
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.02457600086927414
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.029791999608278275
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.027648000046610832
tiny11|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.02768000029027462
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.030912000685930252
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.02457600086927414
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.025599999353289604
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.02364799939095974
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.023552000522613525
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.04217600077390671
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.03788800165057182
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.026623999699950218
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.029472000896930695
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.02739199995994568
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.025855999439954758
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.034591998904943466
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.03276799991726875
tiny11|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.04403200000524521
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.04521600157022476
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.0360959991812706
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.03276799991726875
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.03891199827194214
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.026559999212622643
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.030880000442266464
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.034752000123262405
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.04479999840259552
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,0,0.055296000093221664
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,1,0.02457600086927414
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,abs,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,0,0.023455999791622162
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,1,0.02252800017595291
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,x2,2,0.021727999672293663
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,0,0.07049600034952164
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,1,0.03276799991726875
tiny11|cal_short_factual|model.layers.10.self_attn.q_proj,weighted,2,0.027744000777602196
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,0,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,1,0.02457600086927414
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,abs,2,0.02175999991595745
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,0,0.023552000522613525
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,1,0.021503999829292297
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,x2,2,0.020479999482631683
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,0,0.030751999467611313
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.10.self_attn.k_proj,weighted,2,0.02755199931561947
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,0,0.03471999987959862
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,1,0.030719999223947525
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,abs,2,0.02739199995994568
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,0,0.028672000393271446
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,1,0.026623999699950218
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,x2,2,0.025728000327944756
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,0,0.03465599939227104
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,1,0.03292800113558769
tiny11|cal_short_factual|model.layers.10.self_attn.v_proj,weighted,2,0.03276799991726875
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,0,0.06143999844789505
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,1,0.05427199974656105
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,abs,2,0.05113599821925163
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,0,0.05632000043988228
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,1,0.04915200173854828
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,x2,2,0.04774399846792221
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,0,0.05615999922156334
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,1,0.06838399916887283
tiny11|cal_short_factual|model.layers.10.self_attn.o_proj,weighted,2,0.06022400036454201
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,0,0.03276799991726875
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,1,0.02969600073993206
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,abs,2,0.02687999978661537
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,0,0.024639999493956566
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,1,0.022752000018954277
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,x2,2,0.02252800017595291
tiny11|cal_short_factual|model.layers.10.mlp.gate_proj,weighted,0,0.028672000393271446
