case_key,method,budget_index,repetition,runtime_ms
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.428432
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.376634
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,2,0.389157
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,0,0.156523
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,1,0.143028
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,2,0.147466
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,0,0.180137
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,1,0.166912
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,0,2,0.165599
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,0,0.188232
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,1,0.182801
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,0,2,0.175568
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.482532
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.498332
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,2,0.463257
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,0,0.108052
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,1,0.098394
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,2,0.093776
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,0,0.325449
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,1,0.216224
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,1,2,0.176069
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,0,0.197379
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,1,0.194834
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,1,2,0.181569
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.611414
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.503131
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,2,0.479156
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,0,0.119674
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,1,0.100118
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,2,0.094737
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,0,0.177071
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,1,0.185036
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,2,2,0.173103
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,0,0.199272
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,1,0.189735
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,2,2,0.204522
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.539219
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.501227
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,2,0.651369
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,0,0.144711
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,1,0.120545
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,2,0.135072
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,0,0.190477
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,1,0.189174
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,3,2,0.17658
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,0,0.199824
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,1,0.188493
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,3,2,0.182401
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.51343
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.491299
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,2,0.471732
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,0,0.118251
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,1,0.100758
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,4,2,0.094657
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,0,0.180026
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,1,0.174306
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,4,2,0.168325
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,0,0.198261
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,1,0.204162
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,4,2,0.189534
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.504323
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.483264
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,2,0.479226
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,0,0.111218
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,1,0.10689
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,5,2,0.103273
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,5,0,0.189224
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,5,1,0.186388
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,5,2,0.174726
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,5,0,0.212748
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,5,1,0.188623
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,adaptive8_x2,5,2,0.209321
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,0,0.602707
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,1,0.569816
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,2,0.521025
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,6,0,0.117229
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,6,1,0.121076
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,6,2,0.104736
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,6,0,0.187501
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,6,1,0.182902
tiny11|cal_short_factual|model.layers.0.self_attn.q_proj,shifted8_x2,6,2,0.179916
