error_ceiling,strategy,strategy_label,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,component_total_ms
0.15,paper,Paper fixed R,0.0318804657845585,0.40394913004725697,0.8568996906157977,0.01850249723632421,0.09862996200846032,1.4098617456923976
0.15,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10447400532985521,0.8382642463000486,0.018544646006860153,0.10301733590094361,1.099230519205245
0.15,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.10299030328303542,0.8099473876528809,0.01852440920729159,0.09726803595174643,1.0636604217624916
0.15,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10256354817707844,0.7575294153266146,0.018351724904595912,0.08948008519061172,1.002855059266438
0.2,paper,Paper fixed R,0.0318804657845585,0.37375868455892713,0.8070711775882977,0.018314872913478896,0.090922295752107,1.3219474965973692
0.2,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.1067368929139595,0.7957144630951692,0.018388211834119084,0.1033959489534313,1.0591658024642163
0.2,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.10235269383734795,0.69699271877641,0.017929500453032977,0.07969051555500961,0.9318957142893378
0.2,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10172262985027611,0.6433100876419823,0.018227807038632755,0.0767351229500901,0.8749259331485185
0.25,paper,Paper fixed R,0.0318804657845585,0.35683274259670633,0.7292122224304183,0.018093201407049,0.0734260087421325,1.2094446409608646
0.25,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.1063434798253487,0.7332215327836847,0.01819661487265933,0.08564153228278015,0.9783334454320102
0.25,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.10157216616398426,0.5935032312390665,0.017540387129919587,0.06936709473785325,0.8169131649383609
0.25,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.1015087737643265,0.5491087326265682,0.01794903767380175,0.06788425064863245,0.7713810803808663
0.3,paper,Paper fixed R,0.0318804657845585,0.35083435787885286,0.6738233110183345,0.01780348170985101,0.07428076283057969,1.1486223792221766
0.3,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10622525479079852,0.675137205434674,0.017513378005715192,0.07485741081095992,0.908663534709685
0.3,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.0996594372911494,0.4886277435356564,0.017185716810786313,0.060580850026936334,0.7009840333320657
0.3,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10052646339889833,0.4472426237790547,0.01763288268763662,0.058249862053684695,0.6585821175868116
0.35,paper,Paper fixed R,0.0318804657845585,0.3399091601113428,0.601236979231046,0.01750745497491074,0.06959959945332721,1.0601336595551853
0.35,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10644108597382998,0.6144056544445116,0.017640196368846214,0.07909695079665113,0.8525141732513762
0.35,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.09924598867674518,0.3924886045252019,0.01710933827005837,0.05206155424557594,0.5958357713851187
0.35,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.101020411803224,0.37464141502462966,0.01737460700573465,0.05075276275577599,0.5787194822569016
0.4,paper,Paper fixed R,0.0318804657845585,0.33026860419539456,0.5199312379863562,0.017338551501575296,0.05875011528915212,0.9581689747570367
0.4,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10569478130072416,0.5506212818368909,0.017220490899614114,0.0688189671884612,0.7772858068932276
0.4,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.09971098667572567,0.3080610115819931,0.016677855379176282,0.04184004020566711,0.5012201795100995
0.4,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10006388491133267,0.2938725411463755,0.016619617129851078,0.04111668300758562,0.4866030118626822
0.42,paper,Paper fixed R,0.0318804657845585,0.3271595893853376,0.4942503444236523,0.01738672832297999,0.05587154445000633,0.9265486723665347
0.42,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10536244966462373,0.5226122311744856,0.01710934138556946,0.06277306663474991,0.742787374526966
0.42,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.09964283351629978,0.2887846849147095,0.016566619240050613,0.03983386698176516,0.4797582903203623
0.42,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10037569114250344,0.2742250255597194,0.01659414962651153,0.03854074512906645,0.4646658971253381
0.45,paper,Paper fixed R,0.0318804657845585,0.32130789005231225,0.4524261454220217,0.017191899805425764,0.05586827624787029,0.8786746773121885
0.45,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10376835831572846,0.4809517561040757,0.016634844901147416,0.055331337266625306,0.6916165822551141
0.45,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.09967754649711431,0.26620812235393304,0.016499078445127234,0.03770021047479968,0.4550152434385116
0.45,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10092954095809349,0.25377476804135024,0.016590946582359833,0.03599998160895196,0.4422255228582928
0.5,paper,Paper fixed R,0.0318804657845585,0.32367538311926264,0.3891924595050085,0.017057334223924074,0.051121926598616835,0.8129275692313706
0.5,cell1_x2,Cell-1 X² fixed R,0.0349302856675373,0.10348144975144238,0.4256029699804933,0.016657525373302562,0.057302545594035595,0.6379747763668111
0.5,importance_bound,Cell-1 global I-bound,0.0349302856675373,0.09960157144297856,0.23569798744455475,0.016506670963743628,0.034466110519313774,0.421202626038128
0.5,error_oracle,Cell-1 global error-oracle,0.0349302856675373,0.10110643533320712,0.2253704333461517,0.016462775039327082,0.03317979745907192,0.4110497268452951
