method,method_label,score_kind,control_kind,budget_index,control_value,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selected_fraction_std,chunks,fallback_rate
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,0,0.1,63,0.5759252141112865,0.03285993641567604,0.09386746031746031,0.40736721428571426,0.01606044442289401,0.025770158669541694,0.7336419551145463,0.3753472405766684,0.23175367334532357,0.10037090494092368,0.00018648028058985982,2.0793650793650795,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,1,0.15,63,0.6896854680266428,0.03285993641567604,0.09303592063492064,0.517246373015873,0.015849650719217793,0.030693587240955132,0.6808595838291305,0.31401591357730685,0.28645835911470746,0.14962909505907623,0.00018648028058985825,2.7301587301587302,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,2,0.2,63,0.8033283173094704,0.03285993641567604,0.09837822222222223,0.6191748571428571,0.015728761929841222,0.03718653959887363,0.6420662602380155,0.2752390257895939,0.3506644089070577,0.19981454752953812,9.32401402949292e-05,3.2698412698412698,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,3,0.25,63,0.8979378965694544,0.03285993641567604,0.1025824761904762,0.7115936428571429,0.016717714242755373,0.03418412686340388,0.6141637762683252,0.24703999738844612,0.3970326142651694,0.25,0.0,3.746031746031746,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,4,0.3,63,0.9801087938126278,0.03285993641567604,0.10103422222222222,0.7838715238095239,0.01591060317993633,0.04643250818526929,0.5839409120380878,0.22147735527583529,0.44350193890314255,0.30018545247046186,9.324014029496855e-05,4.190476190476191,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,5,0.35,63,1.1041695078965956,0.03285993641567604,0.10334990476190477,0.9094656984126983,0.016496761835047134,0.041997206471269054,0.5519388724591524,0.19878911025940424,0.49911535401192925,0.35037090494092366,0.0001864802805898584,4.555555555555555,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,6,0.4,63,1.1689082938515287,0.03285993641567604,0.11060287301587302,0.9641009761904761,0.01627225390384116,0.04507225432566229,0.5250605759580457,0.17938387772393602,0.5406104567505065,0.39962909505907623,0.0001864802805898584,4.682539682539683,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,7,0.45,63,1.2620330398507826,0.03285993641567604,0.10346333333333332,1.0456406904761906,0.01817803177982564,0.061891047845757156,0.4960443108298239,0.15891743841625391,0.5810353301820301,0.4498145475295381,9.324014029493e-05,4.650793650793651,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,8,0.5,63,1.3302658330887016,0.03285993641567604,0.10256892063492064,1.1326792619047619,0.01712253963249538,0.04503517450084757,0.4612978438122405,0.13843149798257004,0.6268917388386197,0.5,0.0,4.936507936507937,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,9,0.55,63,1.4608854533625282,0.03285993641567604,0.10304966666666666,1.2361179444444443,0.018222222178583065,0.07063568365715794,0.43244726173875353,0.11968192789289682,0.6796396582845657,0.5501854524704618,9.324014029494565e-05,4.904761904761905,0.0
