case_key,mask_sha256,read_wall_median_ms,read_wall_p95_ms,io_median_ms,upload_median_ms,direct_rate
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,98cfdab186c422019a6b50efc3106fcb52a71c152a9343377e9f92281634c0f2,0.3327675,0.39116535,0.2667935,0.025668000000000003,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,e3954eed13cc7e7c0521f5f89013da3211ed062b0cfaf9cab084ed8c9e6c9b02,0.261444,0.2721423,0.1944735,0.0271305,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,205f43398572812fd022907a2d66ad1a5e2df1c3c2207895a194a5a0f96d9412,0.17743199999999998,0.1813902,0.10907900000000001,0.020538,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,f103ccadd6af1e0b8078f6962b975a8476aeac23ae7dfd47154d710c413c5f28,0.2753645,0.28030595,0.18966500000000003,0.0390225,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,2f056f9a8a286bf1cff8635960b1ef9e593899cd000a4a6b537fdd2e7a26d6c7,0.320319,0.3447549,0.244863,0.035882,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,a50ba20cd7e440c41ff292e8e178755f8f3a7a479596545c51f15d181b4cc5e5,0.231568,0.2377393,0.139546,0.0276965,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,b84965498147f619fe11ba61fb3a42f6ff84c5a2de86ac3ee2f6f76320011f64,0.3572735,0.37614155,0.26856749999999996,0.038577,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,4d89de4a30d994156b5642202c904cea4d0431339184856dd7eab904ef3ab3ca,0.3633495,0.37489065,0.259064,0.049137,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,931447fe1f7d71df84f3d76ba52aaae4d060d2839c947b437ee4076e884a3a2c,0.16464299999999998,0.1660812,0.11757999999999999,0.014577,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2235d085cec1b3401983e7d1c59abe0d6830c1e260061122ab164cf4942a3fb,0.43970200000000004,0.4501618,0.3136715,0.059852,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,4d1fdf32b37f02ffd76a4948b315b65ebee347c7f3abf16a0c19450192422a85,0.41712000000000005,0.43660590000000005,0.31165750000000003,0.054156499999999996,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,2af4fc4c2fb8392ccd3b1a60282f7438150f836f042d5c2c4954bc32b09a38be,0.266679,0.2798523,0.1960615,0.0319945,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,e5e6c9f50a7ec1df52cffbf1bc388f4a75f0445df6932aa8f7e46001829c0b6b,0.43114050000000004,0.44150535,0.339164,0.0525535,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,6935eb49281f78c50690334af7d0c2f5358a59f5ed6a68ac2ec8518a830fbc08,0.408929,0.4324856,0.3207445,0.05157200000000001,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,7c22ef89c94dbd6c7385ea2e5f4c8e262b9ffd1bb1cdc84cda5b52935c8b0dfa,0.281341,0.3023011,0.2210285,0.022637499999999998,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,fc119861a61693834c99dcf92376186372a61680c65ee8ece10da8f3250bab79,0.576974,0.6410522,0.44833850000000003,0.0656025,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,f8569cbd874aaee1a7592a999fcc9bd7750601c1c13ba887a2addb97cf1ba987,0.50541,0.5910837,0.3810675,0.06619850000000001,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,ddebf99016f2c6bcafb5c2586ebe6062f6224101940e77e8a9c05e05cb48dca3,0.302671,0.3326653,0.2327845,0.0277515,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,e24ae85d652f02f86d1a5dbf625ce7f2a86dcfb605d9fe2c39c798e8a694e6f7,0.5200525,0.55842805,0.3992465,0.07101299999999999,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,8bba27fdfc2db436adfa4c84bdd881122b45fd889e961f9a889dfe49b4064190,0.5085705,0.54344775,0.36840399999999995,0.07813149999999999,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,3a8b8fc5b54ff5eb844512adc4636307ea05058d26d9075800b874cf6def3c89,0.3157455,0.32554245,0.232109,0.035411,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,a1227220e84d7f870d93ea2f06235fea8b4724cc11586955ada23ee7d22045e6,0.6198795,0.63438795,0.45270699999999997,0.092032,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c68f9d92eed3be5a3baacf426a894ca086eb165ca2686a0e48a2d84ab744feae,0.570076,0.6079741,0.3938065,0.0921725,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,0cffb33fc45b0988609fe12b90207424673547262abafa9eb4132257d1980dc4,0.434933,0.44946800000000003,0.3082665,0.0616455,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,43515d77921ff0f7f86f96a71dfcde7ac9ba6823cd79038f0f048964eae4084f,0.6697175,0.72497705,0.5166160000000001,0.08995349999999999,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,3d4bb086332c9800d7ba39b7d581df9f737c187d0cb99a3041cbc6476455de18,0.6712005000000001,0.67648935,0.541523,0.079714,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,0e85f64407d8ea29b3aa45be362f1824276b021c6c9c910586b7a75ca6ca70ee,0.384529,0.3946279,0.283976,0.050109,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,d3bed25a43ea8951e67e4e58f3e065d05006b62396518edef5ba44341a7dbf09,0.6438745,0.6748475500000001,0.473255,0.10668949999999999,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,3d92f80f4cfdf524ca27d834d757126c6cffcea7b19e8ce726c187d2b34eac8c,0.9095805,0.91505385,0.7243590000000001,0.1061735,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,34b8d50c991e0e360d9724de881c25157c113d1b445228cb2d266b47eadeb702,0.573121,0.6361579,0.413253,0.07548099999999999,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,af0703d016bf9a1ab47d06c47b6f6439a03767e0ddc3f23a02f96aba8e4375bf,0.7304355,0.75280635,0.5408265,0.109825,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,f50a724d98a6a93bbf1eb9133e9da719f1efb12dd03e277d37fdcf16ebb8e5a3,0.765912,0.7802490000000001,0.6093245,0.09875,1.0
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,bc958c2cc2dfa51ead64f87630ff64bec8b7c0ee87ca5c22524b3759e7805e17,0.423287,0.449765,0.3112765,0.060438000000000006,1.0
