error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.5,paper,Paper fixed R |x|,1.4079296208770833,0.0300632382905672,0.2798917014800917,1.03556431433349,0.018139075869408102,0.044271290903526106,0.37400973285306616,7.9678126860049945
0.5,cell1_fixed,Cell-1 X² fixed R,1.249337658567326,0.03285993641567604,0.10443664260237485,1.0345246573370552,0.017918223535329666,0.05959819867689019,0.44297293473200716,4.655121479803309
0.5,cell1_tau,Cell-1-τ X² local I-bound,1.1801606237023925,0.03285993641567604,0.09445175343011586,0.9876910420705802,0.016351018529399693,0.048806873256620496,0.4313012615998786,4.5886303018334225
0.45,paper,Paper fixed R |x|,1.4949053008210633,0.0300632382905672,0.2752315562653059,1.121820871225048,0.017001439643695073,0.05078819539644715,0.45180815666742835,9.39986967856035
0.45,cell1_fixed,Cell-1 X² fixed R,1.3814162766017288,0.03285993641567604,0.10275718004563847,1.1731856917750696,0.017553173635549448,0.05506029472979516,0.5196525464274409,4.924076239032596
0.45,cell1_tau,Cell-1-τ X² local I-bound,1.3158575415719502,0.03285993641567604,0.09256574108447614,1.1160738527637521,0.01635663656048624,0.05800137474755955,0.5096926004828094,4.700763317723141
0.42,paper,Paper fixed R |x|,1.583479005596058,0.0300632382905672,0.280589323888557,1.2044531128570721,0.017110705813350027,0.051262624746511554,0.5139531587630568,10.229073454594563
0.42,cell1_fixed,Cell-1 X² fixed R,1.4861182359847005,0.03285993641567604,0.10416579427400276,1.267231979841666,0.017385861449955804,0.0644746640033999,0.5714064654375852,4.871202231680659
0.42,cell1_tau,Cell-1-τ X² local I-bound,1.3987711533251335,0.03285993641567604,0.09397728814637107,1.1946005078717712,0.017392361866307625,0.05994105902500733,0.5592084752980904,4.87070008315288
0.4,paper,Paper fixed R |x|,1.6575664808354236,0.0300632382905672,0.2783196397764411,1.2726060846071678,0.017283459458354737,0.059294058702892706,0.551415333983216,10.835084485166254
0.4,cell1_fixed,Cell-1 X² fixed R,1.5289352931061684,0.03285993641567604,0.10558126805562339,1.3177808879217319,0.016271000123847995,0.05644220058928906,0.6048867952898743,4.790471888519807
0.4,cell1_tau,Cell-1-τ X² local I-bound,1.4702939868801992,0.03285993641567604,0.09493286580593373,1.264201576242073,0.018158151364939316,0.060141457051576655,0.5876129823636482,4.7752094127925195
0.35,paper,Paper fixed R |x|,1.8469554838951392,0.0300632382905672,0.2892850179052037,1.4497190142596572,0.01755071308891876,0.06033750035079222,0.637754970461751,11.840921934990657
0.35,cell1_fixed,Cell-1 X² fixed R,1.6675325040904105,0.03285993641567604,0.10302685739713743,1.4421076495206078,0.017887934587844212,0.07165012616914485,0.6773950186540457,4.321496360097528
0.35,cell1_tau,Cell-1-τ X² local I-bound,1.6270301183446747,0.03285993641567604,0.09627116709712286,1.415519964746561,0.018003067735424795,0.06437598234988984,0.6605054051934582,4.399607508760365
0.3,paper,Paper fixed R |x|,2.0676742823490475,0.0300632382905672,0.2941060528416687,1.6635889895181204,0.017544191243168656,0.06237181045552218,0.7214880680459542,12.746545721355226
0.3,cell1_fixed,Cell-1 X² fixed R,1.837980695935658,0.03285993641567604,0.10587515975263447,1.6233593539046463,0.017454306314658,0.05843193954804305,0.753449455238958,3.9755053308679194
0.3,cell1_tau,Cell-1-τ X² local I-bound,1.758068104871703,0.03285993641567604,0.09285496126348387,1.5430357886553294,0.017219989405345047,0.07209742913186849,0.734268511705166,3.879722157771376
0.25,paper,Paper fixed R |x|,2.256492769679083,0.0300632382905672,0.2932023220044098,1.845617109569939,0.018177663107846482,0.06943243670632009,0.7908389682773286,13.198073393346482
0.25,cell1_fixed,Cell-1 X² fixed R,1.9504689365504433,0.03285993641567604,0.1035414657871767,1.7179731488905685,0.017897260085736708,0.07819712537128529,0.823557240222632,3.236374303061362
0.25,cell1_tau,Cell-1-τ X² local I-bound,1.8955370221862697,0.03285993641567604,0.0919029189726482,1.6760428298869028,0.01733943517769759,0.07739190173334475,0.8007227701906815,3.2965055820385323
0.2,paper,Paper fixed R |x|,2.379714661156016,0.0300632382905672,0.3049519530733266,1.9550969497875246,0.01801915198398877,0.07158336802060902,0.8630411667476984,12.76629712406449
0.2,cell1_fixed,Cell-1 X² fixed R,1.9812037665146587,0.03285993641567604,0.10353008782886021,1.753899894045112,0.017862019297167048,0.07305182892784326,0.8799446371641159,2.682327443132777
0.2,cell1_tau,Cell-1-τ X² local I-bound,2.0148214053164217,0.03285993641567604,0.0905558501413255,1.7930735061091143,0.01722221815824106,0.08110989449206463,0.8620232932075111,2.537914012491441
0.15,paper,Paper fixed R |x|,2.494073966830505,0.0300632382905672,0.30897623110093114,2.060161044865333,0.01810175249006445,0.07677170008360913,0.9136719153519267,12.472582810568603
0.15,cell1_fixed,Cell-1 X² fixed R,2.054430228908523,0.03285993641567604,0.10277869734268376,1.8127456199460839,0.01842073870845972,0.08762523649561929,0.929705525499503,1.9751651831442552
0.15,cell1_tau,Cell-1-τ X² local I-bound,2.090752584380621,0.03285993641567604,0.08930716594039965,1.8680267103263168,0.017309398808642705,0.08324937288958568,0.9170791249568736,1.8020586534679675
