case_key,score_kind,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,0,0.08892799913883209
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,1,0.034752000123262405
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,abs,2,0.031647998839616776
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,0,0.03465599939227104
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,1,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,x2,2,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,0,0.03993599861860275
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,1,0.030719999223947525
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,weighted,2,0.02860799990594387
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,0,0.05119999870657921
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,1,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,abs,2,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,0,0.02457600086927414
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,0,0.03190400078892708
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,weighted,2,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,0,0.04320000112056732
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,1,0.03283200040459633
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,abs,2,0.027744000777602196
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,0,0.03379200026392937
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,1,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,x2,2,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,0,0.03888000175356865
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,1,0.03174399957060814
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,weighted,2,0.047231998294591904
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,0,0.030719999223947525
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,1,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,abs,2,0.021727999672293663
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,0,0.023552000522613525
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,0,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,1,0.02566399984061718
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,weighted,2,0.025631999596953392
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,0,0.027648000046610832
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,1,0.023552000522613525
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,abs,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,0,0.023584000766277313
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,x2,2,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,0,0.03081599995493889
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,1,0.02582399919629097
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,weighted,2,0.02470399998128414
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,0,0.028672000393271446
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,1,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,abs,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,0,0.035840000957250595
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,1,0.023455999791622162
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,x2,2,0.021503999829292297
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,0,0.03276799991726875
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,weighted,2,0.0244159996509552
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,0,0.03993599861860275
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,1,0.03190400078892708
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,abs,2,0.02252800017595291
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,0,0.025599999353289604
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,1,0.025567999109625816
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,x2,2,0.026623999699950218
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,0,0.028672000393271446
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,1,0.03174399957060814
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,weighted,2,0.027648000046610832
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,1,0.022592000663280487
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,abs,2,0.02163200080394745
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,0,0.021503999829292297
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,1,0.02236800082027912
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,x2,2,0.02143999934196472
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,0,0.02659199945628643
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,1,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,weighted,2,0.02457600086927414
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,0,0.035840000957250595
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,1,0.028672000393271446
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,abs,2,0.025599999353289604
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,0,0.02969600073993206
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,1,0.026623999699950218
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,x2,2,0.025728000327944756
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,0,0.031936001032590866
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,1,0.030719999223947525
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,weighted,2,0.030719999223947525
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,0,0.03811199963092804
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,1,0.040991999208927155
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,abs,2,0.021503999829292297
