method,method_label,score_kind,control_kind,budget_index,control_value,cases,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,selected_fraction_std,chunks,fallback_rate
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,0,0.1,63,0.4729014762098666,0.028636444448715128,0.08757584126984128,0.32139420634920635,0.014903873027790122,0.02039111111431362,0.7854876669626387,0.3899365937899029,0.386976285941071,0.1,0.0,1.3333333333333333,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,1,0.15,63,0.5676301508673799,0.028636444448715128,0.08978642857142857,0.41157934126984125,0.015340190484291928,0.02228774609310281,0.7181950238725495,0.31933960555091734,0.4594264297731339,0.15,0.0,1.7619047619047619,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,2,0.2,63,0.6242164840361778,0.028636444448715128,0.09275226984126984,0.46114446825396826,0.01625041263030156,0.025432888861922937,0.6711800376337672,0.2778062877200898,0.5091861685117086,0.2,0.0,2.111111111111111,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,3,0.25,63,0.68148419031322,0.028636444448715128,0.09243598412698413,0.515579253968254,0.016589714214205693,0.028242793555060975,0.625324357123602,0.23063806598148645,0.5630288388994005,0.25,0.0,2.3968253968253967,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,4,0.3,63,0.756443928499061,0.028636444448715128,0.09295792063492063,0.5877298174603174,0.01650895231536451,0.0306107936397431,0.5896009326217666,0.20621256317411146,0.6000179620016188,0.3,0.0,2.619047619047619,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,5,0.35,63,0.811843936739845,0.028636444448715128,0.09197007936507937,0.641035507936508,0.017023492027961017,0.033178412961581354,0.5383555380597947,0.17113660819946772,0.6561579396800389,0.35,0.0,2.8095238095238093,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,6,0.4,63,0.8493553576087999,0.028636444448715128,0.09046798412698412,0.6800454682539682,0.016178793599089875,0.03402666718004237,0.515722894479358,0.15458120523937163,0.6854579566963135,0.4,0.0,3.0317460317460316,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,7,0.45,63,0.8924989124449945,0.028636444448715128,0.09416328571428571,0.720079373015873,0.015777015822037763,0.0338427934440828,0.4670659452676773,0.12910293019007119,0.7308729016591632,0.45,0.0,3.0634920634920637,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,8,0.5,63,0.948645499873746,0.028636444448715128,0.09375138095238095,0.7747884682539682,0.015823238070995036,0.035645968147686495,0.43430176637475454,0.11158820561000275,0.7607178820504082,0.5,0.0,3.2222222222222223,0.0
cell1_fixed,Cell-1 X² fixed R,x2,fixed_r,9,0.55,63,1.0167169921829038,0.028636444448715128,0.09780847619047618,0.8371165158730158,0.01634692060687233,0.03680863506382416,0.4062325389139236,0.09819272964719737,0.7861435678270128,0.55,0.0,3.238095238095238,0.0
