error_ceiling,method,method_label,actual_total_ms,score_median_ms,selector_median_ms,read_wall_median_ms,gather_median_ms,gemm_median_ms,selected_fraction,chunks
0.5,paper,Paper fixed R |x|,1.146130833480432,0.03059606357581081,0.31133896863425564,0.7542478173849136,0.016682785108456954,0.03326519877699509,0.3526174088685056,5.47103399485466
0.5,cell1_fixed,Cell-1 X² fixed R,0.863296666530631,0.028636444448715128,0.0916620753691987,0.6929819320143593,0.016048964053771302,0.033967250644586354,0.41615688481716767,3.0420043713124874
0.5,cell1_tau,Cell-1-τ X² local I-bound,0.8514227256007975,0.028636444448715128,0.08544647125051842,0.6848224250906045,0.015190787470773291,0.03732659734018601,0.3838468982335858,2.450290227155356
0.45,paper,Paper fixed R |x|,1.2739495154897287,0.03059606357581081,0.31296291149179917,0.8800510653137575,0.01634798574795307,0.03399148936040788,0.43262048448479257,6.263052233188501
0.45,cell1_fixed,Cell-1 X² fixed R,0.9217441009527677,0.028636444448715128,0.09394873603351588,0.7485758120088597,0.015801091699947957,0.03478201676172889,0.47604360286801456,3.146170167834967
0.45,cell1_tau,Cell-1-τ X² local I-bound,0.915414618325391,0.028636444448715128,0.08796564445742341,0.7433394087299482,0.015559404396607964,0.03991371629269614,0.43780092361051426,2.409736669219685
0.42,paper,Paper fixed R |x|,1.3559753222307336,0.03059606357581081,0.3147805376408984,0.9595941876686952,0.015894301843082825,0.03511023150224622,0.484657302735808,6.8356572067380625
0.42,cell1_fixed,Cell-1 X² fixed R,0.9833291256039162,0.028636444448715128,0.09581854252055506,0.8065457076324334,0.016090063557842062,0.036238367444370416,0.5254758817190675,3.230309803720339
0.42,cell1_tau,Cell-1-τ X² local I-bound,0.9482367743132547,0.028636444448715128,0.08591401337415829,0.775491287379541,0.015982726810967424,0.042212302299872745,0.47895425160551913,2.4598838400700704
0.4,paper,Paper fixed R |x|,1.4022851580079896,0.03059606357581081,0.3144448042934825,1.0056324642448067,0.015774190537722832,0.03583763535616672,0.5138032181384143,7.195533950373012
0.4,cell1_fixed,Cell-1 X² fixed R,1.0200471246362084,0.028636444448715128,0.09690487111537673,0.8412441867764482,0.016328483963414384,0.03693313833225375,0.5573475964194972,3.2450929489709495
0.4,cell1_tau,Cell-1-τ X² local I-bound,0.978339029686123,0.028636444448715128,0.08569371832556591,0.8037263720107812,0.0160457707615138,0.04423672413954673,0.5043302105641992,2.4614150182343324
0.35,paper,Paper fixed R |x|,1.6606017354342029,0.03059606357581081,0.32014670319885363,1.2560706838919775,0.01611399233297818,0.037674292434582396,0.5928052844799887,7.788967479466634
0.35,cell1_fixed,Cell-1 X² fixed R,1.0723876172313185,0.028636444448715128,0.09303502059072931,0.8952003252108237,0.0163944790994573,0.039121347881592834,0.6268636262007483,3.2345454739033364
0.35,cell1_tau,Cell-1-τ X² local I-bound,1.0701371083935132,0.028636444448715128,0.0876835753861696,0.8881993434946919,0.01570557028627563,0.049912174777660794,0.5645698138985003,2.3779020877385517
0.3,paper,Paper fixed R |x|,1.5596099847190876,0.03059606357581081,0.3210580177078536,1.150869439251566,0.01618700405803536,0.04089946012582185,0.6801095299832023,8.416811844300463
0.3,cell1_fixed,Cell-1 X² fixed R,1.1532904746161459,0.028636444448715128,0.09838904456158247,0.9682501651692118,0.016235465842998734,0.04177935459363758,0.7122932834231509,2.945363184785996
0.3,cell1_tau,Cell-1-τ X² local I-bound,1.1359400847419572,0.028636444448715128,0.08803357101882812,0.9528930770342958,0.015570902695053271,0.05080608954506467,0.6394283238972116,2.1965070739220236
0.25,paper,Paper fixed R |x|,1.614246126794936,0.03059606357581081,0.32081598614421347,1.2000852143282115,0.018062984951783274,0.044685877794917124,0.7433858544979698,8.80767418157699
0.25,cell1_fixed,Cell-1 X² fixed R,1.204413247260492,0.028636444448715128,0.09182860159008208,1.0215036609415256,0.016580455256128387,0.045864085024040824,0.8030658586557745,2.5370630747746934
0.25,cell1_tau,Cell-1-τ X² local I-bound,1.230638060432706,0.028636444448715128,0.08738312712880737,1.044037932399689,0.015777154813408405,0.05480340164208624,0.7112799832972355,2.0024721533427843
0.2,paper,Paper fixed R |x|,1.7754623840997446,0.03059606357581081,0.335482333492396,1.3441100650532634,0.01675103761948349,0.048522884358790756,0.8201699104641558,8.852727637880767
0.2,cell1_fixed,Cell-1 X² fixed R,1.2828477919904127,0.028636444448715128,0.0942248571918238,1.0895866314114493,0.01650973876681849,0.053890120171605986,0.8764715501646859,2.060683919432452
0.2,cell1_tau,Cell-1-τ X² local I-bound,1.3420940307764422,0.028636444448715128,0.08636341411745609,1.151655054204048,0.016054473678725752,0.05938464432749728,0.7831089770536421,1.821429386709705
0.15,paper,Paper fixed R |x|,1.8599398864414594,0.03059606357581081,0.3473032439238237,1.4111373069424076,0.01670791928577452,0.054195352713642474,0.8884836514381431,8.207324507830155
0.15,cell1_fixed,Cell-1 X² fixed R,1.3085535928032008,0.028636444448715128,0.09150178106637408,1.1165905565565455,0.016533283347239306,0.05529152738432658,0.9333944299911856,1.549643885803829
0.15,cell1_tau,Cell-1-τ X² local I-bound,1.4678741103446495,0.028636444448715128,0.0848125713000976,1.2752598685924827,0.016369465226571144,0.06279576077678284,0.8605202971574052,1.7722346341510502
