case_key,method,budget_index,repetition,runtime_ms
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.254345
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.246942
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,2,0.23007
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,0,0.104506
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,1,0.083696
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,0,2,0.078557
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,0,0.087654
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,1,0.078106
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,0,2,0.075
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.244788
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.230371
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,2,0.228006
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,0,0.134822
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,1,0.107431
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,1,2,0.089246
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,0,0.080981
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,1,0.075521
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,1,2,0.081232
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.241111
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.255328
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,2,0.230481
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,0,0.091812
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,1,0.08577
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,2,2,0.081292
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,0,0.11254
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,1,0.132958
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_tau,2,2,0.211125
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.280455
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.276607
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,2,0.273732
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,0,0.097042
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,1,0.089327
smol360|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_fixed,3,2,0.087023
