trial,coverage_target,coverage_achieved,coverage_overshoot,coverage_rows,coverage_row_fraction,coverage_chunks,coverage_aff_ms,coverage_table_ms,pareto_achieved,pareto_overshoot,pareto_rows,pareto_row_fraction,pareto_chunks,pareto_aff_ms,pareto_table_ms,pareto_target_gap_pct,pareto_achieved_gap_pct,pareto_peak_states
0,0.1,0.10207892067645678,0.0020789206764567775,16,0.0625,1,0.013237889458506534,0.014520079654829075,0.1020789206764568,0.0020789206764567913,16,0.0625,1,0.013237889458506534,0.014520079654829075,0.0,0.0,314
0,0.2,0.20447879953245743,0.004478799532457417,37,0.14453125,1,0.01617395674169774,0.017040686274509803,0.20447879953245746,0.004478799532457445,37,0.14453125,1,0.01617395674169774,0.017040686274509803,0.0,0.0,314
0,0.3,0.30076368971999634,0.0007636897199963522,58,0.2265625,1,0.019110024024888952,0.019890460739779365,0.3054269963619126,0.005426996361912628,60,0.234375,1,0.01938964948043097,0.019595683930942895,1.4632396860298824,0.0,314
0,0.4,0.4033545407271977,0.0033545407271976524,89,0.34765625,1,0.02344421858579026,0.02250882612533098,0.4033545407271977,0.0033545407271976524,89,0.34765625,1,0.02344421858579026,0.02250882612533098,0.0,0.0,314
0,0.5,0.5025591941716833,0.0025591941716832656,117,0.45703125,1,0.027358974963378538,0.025853610503282276,0.5025591941716834,0.0025591941716833766,117,0.45703125,1,0.027358974963378538,0.025853610503282276,0.0,0.0,314
0,0.6,0.6046123098432521,0.004612309843252116,143,0.55859375,1,0.030994105885424797,0.030185419354838712,0.6046123098432522,0.004612309843252227,143,0.55859375,1,0.030994105885424797,0.030185419354838712,0.0,0.0,314
0,0.7,0.7025876543861399,0.002587654386139948,169,0.66015625,1,0.034629236807471056,0.033990044576523035,0.7032449544821693,0.0032449544821693266,170,0.6640625,1,0.03476904953524207,0.0338881913303438,0.40374186860754335,0.0,314
0,0.8,0.8007138285048216,0.0007138285048216009,200,0.78125,1,0.03896343136837237,0.03915611015490534,0.8007138285048213,0.0007138285048212678,200,0.78125,1,0.03896343136837237,0.03915611015490534,0.0,0.0,314
0,0.85,0.856044397637117,0.0060443976371170605,216,0.84375,1,0.04120043501270853,0.04185874769797422,0.8560443976371168,0.006044397637116838,216,0.84375,1,0.04120043501270853,0.04185874769797422,0.0,0.0,314
0,0.9,0.9012329314908318,0.0012329314908318123,227,0.88671875,1,0.04273837501818963,0.04437192307692307,0.9012329314908316,0.0012329314908315903,227,0.88671875,1,0.04273837501818963,0.04437192307692307,0.0,0.0,314
0,0.95,0.9508746740918005,0.0008746740918005314,240,0.9375,1,0.04455594047921276,0.04549817813765182,0.9501437464760132,0.00014374647601322899,240,0.9375,1,0.04455594047921276,0.04549817813765182,0.0,0.0,314
0,0.97,0.9719962965669404,0.0019962965669404475,246,0.9609375,1,0.04539481684583883,0.04721863354037267,0.9732241006684732,0.0032241006684732287,247,0.96484375,1,0.04553462957360983,0.04780103734439834,0.30799271257291316,0.0,314
0,0.99,0.9925352803139711,0.0025352803139711,253,0.98828125,1,0.04637350594023589,0.04783099787685775,0.9955725854135828,0.005572585413582853,254,0.9921875,1,0.046513318668006905,0.04839595744680851,0.3014926841011345,0.0,314
1,0.1,0.10242821787703021,0.0024282178770302087,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.10242821787703021,0.0024282178770302087,17,0.06640625,1,0.013377702186277544,0.015339002036659877,0.0,0.0,318
1,0.2,0.20483976800789508,0.004839768007895068,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.2048397680078951,0.0048397680078950955,39,0.15234375,1,0.01645358219723976,0.017378827690752906,0.0,0.0,318
1,0.3,0.30061942936712677,0.0006194293671267781,59,0.23046875,1,0.01924983675265996,0.019197965879265092,0.30061942936712677,0.0006194293671267781,59,0.23046875,1,0.01924983675265996,0.019197965879265092,0.0,0.0,318
1,0.4,0.4035160586838535,0.0035160586838534624,84,0.328125,1,0.02274515494693521,0.02176891891891892,0.40351605868385354,0.003516058683853518,84,0.328125,1,0.02274515494693521,0.02176891891891892,0.0,0.0,318
1,0.5,0.5006386974721666,0.000638697472166605,111,0.43359375,1,0.02652009859675248,0.02610922431865828,0.503805386022663,0.0038053860226630043,112,0.4375,1,0.026659911324523493,0.025773178458289338,0.5271953543495966,0.0,318
1,0.6,0.6038764944720076,0.0038764944720076633,140,0.546875,1,0.03057466770211177,0.029551584283903677,0.6038764944720078,0.0038764944720077743,140,0.546875,1,0.03057466770211177,0.029551584283903677,0.0,0.0,318
1,0.7,0.7055660964040952,0.005566096404095222,168,0.65625,1,0.03448942407970005,0.033354733727810656,0.7055660964040956,0.005566096404095666,168,0.65625,1,0.03448942407970005,0.033354733727810656,0.0,0.0,318
1,0.8,0.800990023755353,0.0009900237553529534,194,0.7578125,1,0.03812455500174631,0.03832177554438861,0.8009900237553536,0.0009900237553535085,194,0.7578125,1,0.03812455500174631,0.03832177554438861,0.0,0.0,318
